  index    complexity    length        TE    TE_inf  expr_x                         expr_y                                                                                               index_column  method    data_version    system      snr    init
     43            63       126  0.401477  0.277729  x1*x2**3*(-x1 + x2)*(x1 - x2)  x1*(x1 + x2*(x1 - x2)*(2*x1 - x2**2 + 2*x2 - (x1 - x2)*(-x2*(x1 - x2**2 + 2*x2) + x2)) + x2) + x1              43  dso       all             myvdp        30       2
     31            39        87  0.454521  0.352665  x2*(-x1 + x2)*(x2**2 + 2*x2)   (2*x1*x2*(x1 - x2) + x1)*(x1 + x2*(x1 - x2)*(x1 + x2) + x2)                                                    31  dso       all             myvdp        30       2
     28            37        69  0.489649  0.376299  x2*(-x1 + x2)*(x2**2 + 2*x2)   -x1 + x2*(x1*(-2*x1 + x2) - x1 - x2) - x2                                                                      28  dso       all             myvdp        30       2
     20            35        77  0.563578  0.494403  2*x2**2*(-x1 + x2)             (2*x1*x2*(x1 - x2) + x1)*(x1 + x2*(x1 - x2)*(x1 + x2) + x2)                                                    20  dso       all             myvdp        30       2
      8            31        66  0.605618  0.560096  x2**2*(-x1 + x2)               x1*(x1 + x2 - (x1 - x2)*(-x2*(x1 + x2) + x2)) + x1                                                              8  dso       all             myvdp        30       2
      7            29        52  1.52105   1.52518   x2**2*(-x1 + x2)               -x1 + x2*(x1*(-2*x1 + x2) - x1 - x2)                                                                            7  dso       all             myvdp        30       2
      5            27        46  1.72343   1.73292   x2**2*(-x1 + x2)               x1*(-x2*(x1 - x2) + 2*x2) - x1                                                                                  5  dso       all             myvdp        30       2
     26            25        49  1.72766   1.71911   x2*(-x1 + x2)*(x2**2 + 2*x2)   x2*(x1 + 2*x2) + 2*x2                                                                                          26  dso       all             myvdp        30       2
     25            23        42  1.7539    1.74612   x2*(-x1 + x2)*(x2**2 + 2*x2)   2*x2**2 - 2*x2                                                                                                 25  dso       all             myvdp        30       2
      3            18        30  3.04839   3.07743   x2**2*(-x1 + x2)               2*x2**2 - 2*x2                                                                                                  3  dso       all             myvdp        30       2
     22            17        33  4.89401   4.9428    x2*(-x1 + x2)*(x2**2 + 2*x2)   x2**2                                                                                                          22  dso       all             myvdp        30       2
      1            14        23  4.93848   4.98547   x2**2*(-x1 + x2)               2*x2**2                                                                                                         1  dso       all             myvdp        30       2
      0            12        21  6.72863   6.79033   x2**2*(-x1 + x2)               x2**2                                                                                                           0  dso       all             myvdp        30       2
