	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
12	43	63	126	0.4014768013546838	0.2777286462239378	x1*x2**3*(-x1 + x2)*(x1 - x2)	x1*(x1 + x2*(x1 - x2)*(2*x1 - x2**2 + 2*x2 - (x1 - x2)*(-x2*(x1 - x2**2 + 2*x2) + x2)) + x2) + x1	43	dso	all	myvdp	30	2
11	31	39	87	0.4545206727144848	0.3526648459629669	x2*(-x1 + x2)*(x2**2 + 2*x2)	(2*x1*x2*(x1 - x2) + x1)*(x1 + x2*(x1 - x2)*(x1 + x2) + x2)	31	dso	all	myvdp	30	2
10	28	37	69	0.48964913612296135	0.37629923955616285	x2*(-x1 + x2)*(x2**2 + 2*x2)	-x1 + x2*(x1*(-2*x1 + x2) - x1 - x2) - x2	28	dso	all	myvdp	30	2
6	20	35	77	0.5635775232676338	0.49440267901668766	2*x2**2*(-x1 + x2)	(2*x1*x2*(x1 - x2) + x1)*(x1 + x2*(x1 - x2)*(x1 + x2) + x2)	20	dso	all	myvdp	30	2
5	8	31	66	0.6056183996879516	0.5600956403004776	x2**2*(-x1 + x2)	x1*(x1 + x2 - (x1 - x2)*(-x2*(x1 + x2) + x2)) + x1	8	dso	all	myvdp	30	2
4	7	29	52	1.5210517263528405	1.5251772805966133	x2**2*(-x1 + x2)	-x1 + x2*(x1*(-2*x1 + x2) - x1 - x2)	7	dso	all	myvdp	30	2
3	5	27	46	1.7234347206780167	1.7329211295089477	x2**2*(-x1 + x2)	x1*(-x2*(x1 - x2) + 2*x2) - x1	5	dso	all	myvdp	30	2
9	26	25	49	1.727660339538784	1.7191084682255076	x2*(-x1 + x2)*(x2**2 + 2*x2)	x2*(x1 + 2*x2) + 2*x2	26	dso	all	myvdp	30	2
8	25	23	42	1.7538993240978396	1.746124540145403	x2*(-x1 + x2)*(x2**2 + 2*x2)	2*x2**2 - 2*x2	25	dso	all	myvdp	30	2
2	3	18	30	3.0483947645659537	3.0774284604609883	x2**2*(-x1 + x2)	2*x2**2 - 2*x2	3	dso	all	myvdp	30	2
7	22	17	33	4.894006748377594	4.942795721035839	x2*(-x1 + x2)*(x2**2 + 2*x2)	x2**2	22	dso	all	myvdp	30	2
1	1	14	23	4.938479121912966	4.985467462383663	x2**2*(-x1 + x2)	2*x2**2	1	dso	all	myvdp	30	2
0	0	12	21	6.72862640572506	6.790329860587137	x2**2*(-x1 + x2)	x2**2	0	dso	all	myvdp	30	2
