  complexity    length       TE    TE_inf  expr_x                        expr_y                                                             index_column  method    exp_type    data_version    system      snr    init
          28        51  2.00057   2.04072  0.069*x + 1.033*y             -0.902*x**2*y - 2.109*x + 1.129*y**2/(y + 0.234) - 0.94                       0  proged    numdif      all             myvdp        13       0
          29        55  1.99225   2.03148  0.069*x + 1.033*y             -0.898*x**2*y - 2.123*x + 1.108*y - 0.306*y/(y + 0.233) - 0.919               1  proged    numdif      all             myvdp        13       0
          10        18  2.99693   3.06318  1.027*y - 0.037               -1.247*x - 1.396                                                              2  proged    numdif      all             myvdp        13       0
          26        49  2.0348    2.0775   1.027*y - 0.037               -0.902*x**2*y - 2.109*x + 1.129*y**2/(y + 0.234) - 0.94                       3  proged    numdif      all             myvdp        13       0
          27        53  2.02828   2.07016  1.027*y - 0.037               -0.898*x**2*y - 2.123*x + 1.108*y - 0.306*y/(y + 0.233) - 0.919               4  proged    numdif      all             myvdp        13       0
           6         8  4.43249   4.55436  1.026*y                       -1.003*x                                                                      5  proged    numdif      all             myvdp        13       0
           8        13  3.00972   3.07695  1.026*y                       -1.247*x - 1.396                                                              6  proged    numdif      all             myvdp        13       0
          14        25  2.06938   2.08007  1.026*y                       -0.596*x**2*y - 1.835*x - 1.217                                               7  proged    numdif      all             myvdp        13       0
          13        20  2.34837   2.38265  1.026*y                       -0.607*x**2*y - 1.633*x                                                       8  proged    numdif      all             myvdp        13       0
          24        44  2.05436   2.09667  1.026*y                       -0.902*x**2*y - 2.109*x + 1.129*y**2/(y + 0.234) - 0.94                       9  proged    numdif      all             myvdp        13       0
          25        48  2.04696   2.08846  1.026*y                       -0.898*x**2*y - 2.123*x + 1.108*y - 0.306*y/(y + 0.233) - 0.919              10  proged    numdif      all             myvdp        13       0
          31        59  1.98506   2.03136  0.001*y**5 + 0.785*y + 0.034  -0.902*x**2*y - 2.109*x + 1.129*y**2/(y + 0.234) - 0.94                      11  proged    numdif      all             myvdp        13       0
          32        63  1.97553   2.02071  0.001*y**5 + 0.785*y + 0.034  -0.898*x**2*y - 2.123*x + 1.108*y - 0.306*y/(y + 0.233) - 0.919              12  proged    numdif      all             myvdp        13       0
