	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
12	480	55	295	0.1548358922514043	0.12012059675106085	-0.762*x1*(-4.676*x1/x2 + x2 - (0.185*x1 + 2.07/x2)*(0.066*x1*(x1 + 0.441)*(3.603*x1 - x2 - 13.074) - x1 + 2*x2))	x2*(-0.067*x1*(x1 - 6.57) - 0.067*x2)	480	dso	all	predprey	30	0
9	307	40	287	0.19060959232523977	0.14955677042273252	x2 + (0.389*x1 - 2.807)*(-0.614*x1 + x2 + (x1 - 2.745)*(0.225*x1**2 + 0.225*x2 - 0.008)) + 0.38	-0.067*x2*(x1*(x1 - 6.54) + x2) + 0.04	307	dso	all	predprey	30	0
8	282	39	262	0.19100489538033022	0.15007310471947052	x2 + (0.389*x1 - 2.809)*(-0.624*x1 + x2 + (x1 - 2.748)*(0.225*x1**2 + 0.225*x2)) + 0.316	-0.067*x2*(x1*(x1 - 6.54) + x2) + 0.04	282	dso	all	predprey	30	0
11	407	36	252	0.24214372513623422	0.21566350675738605	x1*(0.768 - 0.129*x1)*(-0.114*x1*(x1 - 4.479)*(x2 + 1.11) - x1 - 1.186*x2 + 5.119)	-0.067*x2*(x1*(x1 - 6.54) + x2) + 0.04	407	dso	all	predprey	30	0
10	403	34	221	0.31511049770023347	0.298914925900688	x1*(0.768 - 0.129*x1)*(-0.114*x1*(x1 - 4.479)*(x2 + 1.11) - x1 - 1.186*x2 + 5.119)	-x2/(x1 + 1.086) + 2.479	403	dso	all	predprey	30	0
7	203	27	169	0.3462186837893616	0.3326220753746416	x1*(-0.809*x1 - 0.009*x2/(0.008*x1 + 0.011) + 3.557)	-x2/(x1 + 1.086) + 2.479	203	dso	all	predprey	30	0
6	52	14	94	0.5935332531220078	0.5897866969666432	0.351*x1*(5.399 - x2)	x1 - 0.463*x2 + 0.971	52	dso	all	predprey	30	0
5	51	13	73	0.6605601252743976	0.6466378167126096	0.351*x1*(5.399 - x2)	x1 - 0.314*x2	51	dso	all	predprey	30	0
4	27	11	88	1.192056355627194	1.1729763055822844	2.486 - 0.546*x2	x1 - 0.463*x2 + 0.971	27	dso	all	predprey	30	0
3	26	10	67	1.6996248798011324	1.6721865577292456	2.486 - 0.546*x2	x1 - 0.314*x2	26	dso	all	predprey	30	0
2	2	9	71	3.837831403852633	3.817509155293448	-0.163*x2	x1 - 0.463*x2 + 0.971	2	dso	all	predprey	30	0
1	1	8	50	4.126938522681642	4.102883923776353	-0.163*x2	x1 - 0.314*x2	1	dso	all	predprey	30	0
0	0	6	46	7.053396122500137	7.006738992349389	-0.163*x2	x1 - 1.446	0	dso	all	predprey	30	0
