	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
10	299	63	364	0.0353387738818529	0.0353387738818529	0.11*x1*(x1 + 17.788)*(0.425*x1*(1.352 + 0.006/(-0.345*x1**2 + x2)) - x1 + 1.608 - (0.425*x2 - 0.442)/(x1 + 0.778))	x2*(-3481.456*x1/(x1*(-x1 - 3508.461) + x1 - x2 - 3394.868) - 0.075*x2)	299	dso	all	predprey	inf	3
8	297	59	340	0.03540622563809068	0.03540622563809068	0.11*x1*(x1 + 17.788)*(0.425*x1*(1.352 + 0.006/(-0.345*x1**2 + x2)) - x1 + 1.608 - (0.425*x2 - 0.442)/(x1 + 0.778))	x2*(-x2*(-0.991*x1/(x2*(x1 + 0.966)) + 1.075) + x2)	297	dso	all	predprey	inf	3
9	298	58	373	0.03609194074106671	0.03609194074106671	0.11*x1*(x1 + 17.788)*(0.425*x1*(1.352 + 0.006/(-0.345*x1**2 + x2)) - x1 + 1.608 - (0.425*x2 - 0.442)/(x1 + 0.778))	x2*(4.143*x1/(4.178*x1 - 0.004*x2 + 4.057) - 0.075*x2)	298	dso	all	predprey	inf	3
7	295	52	340	0.2975695636239448	0.2975695636239448	0.11*x1*(x1 + 17.788)*(0.425*x1*(1.352 + 0.006/(-0.345*x1**2 + x2)) - x1 + 1.608 - (0.425*x2 - 0.442)/(x1 + 0.778))	5.743 + (x2 + 6.341)/(-0.46*x1 - 1.474)	295	dso	all	predprey	inf	3
6	264	51	305	0.37787269881808305	0.37787269881808305	1.142*x1*(-x1 + 0.005*x1/(-0.345*x1**2 + x2) + 4.107 - (0.915*x2 + 1.001)/(x1 + 1.093))	x2*(4.143*x1/(4.178*x1 - 0.004*x2 + 4.057) - 0.075*x2)	264	dso	all	predprey	inf	3
5	123	23	165	0.42475479762161217	0.42475479762161217	x1 - (0.229*x1 + 0.098)*(x1 + 1.228*x2 - 5.286)	1.276*x1 - 0.529*x2 + 0.989	123	dso	all	predprey	inf	3
4	36	13	93	0.4974692092228162	0.4974692092228162	x1*(2.062 - 0.382*x2)	x1 - 0.471*x2 + 0.977	36	dso	all	predprey	inf	3
3	35	12	72	0.6507520398228721	0.6507520398228721	x1*(2.062 - 0.382*x2)	x1 - 0.323*x2	35	dso	all	predprey	inf	3
2	19	10	73	1.7472233786624578	1.7472233786624578	-0.147*x1*x2	x1 - 0.471*x2 + 0.977	19	dso	all	predprey	inf	3
1	18	9	52	2.009500632007618	2.009500632007618	-0.147*x1*x2	x1 - 0.323*x2	18	dso	all	predprey	inf	3
0	17	7	49	2.6610393608429064	2.6610393608429064	-0.147*x1*x2	x1 - 1.489	17	dso	all	predprey	inf	3
