  index    complexity    length           TE       TE_inf  expr_x                                                                expr_y                                              index_column  method    data_version    system      snr    init
    478            60       402  0.000563694  0.000563694  x1*(-1.003*x1 + 0.001*x2 + 4.012 + (-1.005*x2 - 0.017)/(x1 + 1.005))  x2*(0.075*x1/(0.075*x1 + 0.075) - 0.075*x2)                  478  dso       allonger        predprey    inf       2
    473            51       371  0.000628498  0.000628498  x1*(-1.003*x1 + 0.001*x2 + 4.012 + (-1.005*x2 - 0.017)/(x1 + 1.005))  x2*(0.075*x1/(0.075*x1 + 0.075) - 0.075*x2)                  473  dso       allonger        predprey    inf       2
    229            50       303  0.0393898    0.0393898    x1*(-0.986*x1 - 0.009*x2 - 0.97*x2/(x1 + 0.982) + 3.975)              x2*(0.075*x1/(0.075*x1 + 0.075) - 0.075*x2)                  229  dso       allonger        predprey    inf       2
    221            36       245  0.039499     0.039499     x1*(-0.986*x1 - 0.009*x2 - 0.97*x2/(x1 + 0.982) + 3.975)              x2*(0.075*x1/(0.075*x1 + 0.075) - 0.075*x2)                  221  dso       allonger        predprey    inf       2
    217            33       234  0.827401     0.827401     x1*(-0.986*x1 - 0.009*x2 - 0.97*x2/(x1 + 0.982) + 3.975)              (0.272 - 0.054*x1)*(6.253*x1 - 1.856*x2) + 0.954             217  dso       allonger        predprey    inf       2
    175            32       227  0.932121     0.932121     x1*(-1.038*x1 - 0.358*x2 + 9.082 - 27.326/(x1 + 3.614))               (0.272 - 0.054*x1)*(6.253*x1 - 1.856*x2) + 0.954             175  dso       allonger        predprey    inf       2
    216            29       196  0.937714     0.937714     x1*(-0.986*x1 - 0.009*x2 - 0.97*x2/(x1 + 0.982) + 3.975)              x1 - 0.368*x2 + 1.139 - 0.05/x1                              216  dso       allonger        predprey    inf       2
     45            13        89  1.0076       1.0076       x1*(2.729 - 0.477*x2)                                                 x1 - 0.301*x2 + 0.56                                          45  dso       allonger        predprey    inf       2
      2            11        72  2.21949      2.21949      0.786 - x1                                                            x1 - 0.301*x2 + 0.56                                           2  dso       allonger        predprey    inf       2
     22            10        67  3.70078      3.70078      -0.266*x1**2                                                          0.947*x1 - 1.047                                              22  dso       allonger        predprey    inf       2
     21             8        49  3.77594      3.77594      -0.266*x1**2                                                          x1 - 1.102                                                    21  dso       allonger        predprey    inf       2
