  complexity    length       TE    TE_inf  expr_x                                                             expr_y                                                                           index_column  method    exp_type    data_version    system      snr    init
           9        15  1.95828  2.01267   -0.113*x*y                                                         0.856 - 0.249*y                                                                             0  proged    numdif      all             predprey     13       3
           7        10  2.10282  2.20073   -0.113*x*y                                                         -0.128*y                                                                                    1  proged    numdif      all             predprey     13       3
          22        36  1.24094  1.22763   -0.225*x**2*y/(x + 0.077) + 1.005*x                                1.037*x - 0.315*y                                                                           2  proged    numdif      all             predprey     13       3
           6         8  5.22643  5.23875   -0.168*y                                                           -0.128*y                                                                                    3  proged    numdif      all             predprey     13       3
          13        20  1.90639  1.97864   -0.011*x*y**2                                                      1.037*x - 0.315*y                                                                           4  proged    numdif      all             predprey     13       3
          11        18  1.94049  1.99363   -0.011*x*y**2                                                      0.856 - 0.249*y                                                                             5  proged    numdif      all             predprey     13       3
          15        24  1.49579  1.5235    -0.227*x*y + 1.065*x                                               1.037*x - 0.315*y                                                                           6  proged    numdif      all             predprey     13       3
          16        29  1.24198  1.22551   -0.226*x*y + 1.042*x + 0.04                                        1.037*x - 0.315*y                                                                           7  proged    numdif      all             predprey     13       3
          14        27  1.8578   1.91019   -0.226*x*y + 1.042*x + 0.04                                        0.856 - 0.249*y                                                                             8  proged    numdif      all             predprey     13       3
          40        76  1.13761  1.09046   -0.226*x*y + 1.042*x + 0.04                                        0.262*x**2*y/(y - 2.038) + 1.692*x/(x + 0.03) - 0.02*y**3/(y - 1.778) - 2.047               9  proged    numdif      all             predprey     13       3
          49        97  1.01163  0.846328  -0.021*x**2*y/(x + 0.157) - 0.171*x*y + 0.867*x - 0.108*y + 0.565  1.018*x + 1.345*x/(x + 0.03) - 0.506*y                                                     10  proged    numdif      all             predprey     13       3
