	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	12	22	1.7024689713686827	1.7024689713686827	-0.168*x*y	1.215*x - 0.519*y + 1.013	0	proged	numdif	all	predprey	inf	1
1	7	10	2.0310243937976566	2.0310243937976566	-0.168*x*y	-0.114*y	1	proged	numdif	all	predprey	inf	1
2	11	20	1.980611074441605	1.980611074441605	-0.958*x	1.215*x - 0.519*y + 1.013	2	proged	numdif	all	predprey	inf	1
3	6	8	2.171729176697319	2.171729176697319	-0.958*x	-0.114*y	3	proged	numdif	all	predprey	inf	1
4	18	32	0.6002557119891905	0.6002557119891905	-0.421*x*y + 2.261*x	1.22*x - 0.039*y**2 - 0.368	4	proged	numdif	all	predprey	inf	1
5	15	24	0.8480080631453881	0.8480080631453881	-0.421*x*y + 2.261*x	1.194*x - 0.362*y	5	proged	numdif	all	predprey	inf	1
6	16	29	0.6826084877423042	0.6826084877423042	-0.421*x*y + 2.261*x	1.215*x - 0.519*y + 1.013	6	proged	numdif	all	predprey	inf	1
7	14	25	1.5169505832127932	1.5169505832127932	0	1.215*x - 0.519*y + 1.013	7	proged	numdif	all	predprey	inf	1
8	9	13	2.013738200845018	2.013738200845018	0	-0.114*y	8	proged	numdif	all	predprey	inf	1
9	33	61	0.20862365808315442	0.20862365808315442	0.106*x**3 - 1.668*x**2 - 1.002*x*y/(x + 0.861) + 5.0*x	1.22*x - 0.039*y**2 - 0.368	9	proged	numdif	all	predprey	inf	1
10	30	53	0.40512540905705424	0.40512540905705424	0.106*x**3 - 1.668*x**2 - 1.002*x*y/(x + 0.861) + 5.0*x	1.194*x - 0.362*y	10	proged	numdif	all	predprey	inf	1
11	31	58	0.23737681056749677	0.23737681056749677	0.106*x**3 - 1.668*x**2 - 1.002*x*y/(x + 0.861) + 5.0*x	1.215*x - 0.519*y + 1.013	11	proged	numdif	all	predprey	inf	1
12	48	93	0.15102861275654877	0.15102861275654877	0.002*x**5*y/(x + 5.0) - 2.465*x**3/(x + 5.0) - 1.113*x*y/(x + 1.158) + 3.559*x + 0.006	-0.172*x**2 + 1.854*x - 0.507*y + 0.728	12	proged	numdif	all	predprey	inf	1
13	51	97	0.12337849621753531	0.12337849621753531	0.002*x**5*y/(x + 5.0) - 2.465*x**3/(x + 5.0) - 1.113*x*y/(x + 1.158) + 3.559*x + 0.006	0.991*x*y/(x + 0.964) - 0.075*y**2 - 0.002	13	proged	numdif	all	predprey	inf	1
14	50	92	0.12631380479477428	0.12631380479477428	0.002*x**5*y/(x + 5.0) - 2.465*x**3/(x + 5.0) - 1.113*x*y/(x + 1.158) + 3.559*x + 0.006	0.991*x*y/(x + 0.965) - 0.075*y**2	14	proged	numdif	all	predprey	inf	1
15	53	99	0.11988511005869766	0.11988511005869766	0.002*x**5*y/(x + 5.0) - 2.465*x**3/(x + 5.0) - 1.113*x*y/(x + 1.158) + 3.559*x + 0.006	1.005*x*y/(x + 0.972) - 0.018*x - 0.076*y**2	15	proged	numdif	all	predprey	inf	1
