  complexity    length          TE      TE_inf  expr_x                                                     expr_y                                index_column  method    exp_type    data_version    system      snr    init
           7        10   5.15768     5.15768    -0.085*x*y                                                 0.335*x                                          0  proged    numdif      allonger        predprey    inf       0
          11        17   3.40234     3.40234    -0.085*x*y                                                 1.383*x - 0.313*y                                1  proged    numdif      allonger        predprey    inf       0
          12        22   2.86648     2.86648    -0.085*x*y                                                 1.388*x - 0.453*y + 0.863                        2  proged    numdif      allonger        predprey    inf       0
           9        15   4.5739      4.5739     -0.085*x*y                                                 0.951*x - 1.146                                  3  proged    numdif      allonger        predprey    inf       0
          19        36   0.966356    0.966356   -0.346*x*y + 1.977*x - 0.048*y + 0.246                     1.383*x - 0.313*y                                4  proged    numdif      allonger        predprey    inf       0
           6         8  11.6361     11.6361     -0.091*y                                                   0.335*x                                          5  proged    numdif      allonger        predprey    inf       0
          15        24   1.01509     1.01509    -0.367*x*y + 2.085*x                                       1.383*x - 0.313*y                                6  proged    numdif      allonger        predprey    inf       0
          14        25   2.49111     2.49111    0                                                          1.388*x - 0.453*y + 0.863                        7  proged    numdif      allonger        predprey    inf       0
          35        62   0.765058    0.765058   0.003*x**3 - 1.012*x**2 - 0.999*x*y/(x + 0.996) + 4.015*x  5.0*x/(x + 0.979) - 0.406*y                      8  proged    numdif      allonger        predprey    inf       0
          43        81   0.0149006   0.0149006  0.003*x**3 - 1.012*x**2 - 0.999*x*y/(x + 0.996) + 4.015*x  1.001*x*y/(x + 1.001) - 0.075*y**2               9  proged    numdif      allonger        predprey    inf       0
          38        67   0.0149285   0.0149285  0.003*x**3 - 1.012*x**2 - 0.999*x*y/(x + 0.996) + 4.015*x  1.0*x*y/(x + 1.0) - 0.075*y**2                  10  proged    numdif      allonger        predprey    inf       0
          45        84   0.0149005   0.0149005  0.003*x**3 - 1.012*x**2 - 0.999*x*y/(x + 0.996) + 4.015*x  1.0*x*y/(x + 1.0) - 0.075*y**2                  11  proged    numdif      allonger        predprey    inf       0
