	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	7	10	5.1576797606579055	5.1576797606579055	-0.085*x*y	0.335*x	0	proged	numdif	allonger	predprey	inf	0
1	11	17	3.4023445327686788	3.4023445327686788	-0.085*x*y	1.383*x - 0.313*y	1	proged	numdif	allonger	predprey	inf	0
2	12	22	2.866481957713876	2.866481957713876	-0.085*x*y	1.388*x - 0.453*y + 0.863	2	proged	numdif	allonger	predprey	inf	0
3	9	15	4.57390308978934	4.57390308978934	-0.085*x*y	0.951*x - 1.146	3	proged	numdif	allonger	predprey	inf	0
4	19	36	0.9663558069377493	0.9663558069377493	-0.346*x*y + 1.977*x - 0.048*y + 0.246	1.383*x - 0.313*y	4	proged	numdif	allonger	predprey	inf	0
5	6	8	11.636126976789864	11.636126976789864	-0.091*y	0.335*x	5	proged	numdif	allonger	predprey	inf	0
6	15	24	1.015091707994578	1.015091707994578	-0.367*x*y + 2.085*x	1.383*x - 0.313*y	6	proged	numdif	allonger	predprey	inf	0
7	14	25	2.4911123251541785	2.4911123251541785	0	1.388*x - 0.453*y + 0.863	7	proged	numdif	allonger	predprey	inf	0
8	35	62	0.7650576564245226	0.7650576564245226	0.003*x**3 - 1.012*x**2 - 0.999*x*y/(x + 0.996) + 4.015*x	5.0*x/(x + 0.979) - 0.406*y	8	proged	numdif	allonger	predprey	inf	0
9	43	81	0.014900640354326361	0.014900640354326361	0.003*x**3 - 1.012*x**2 - 0.999*x*y/(x + 0.996) + 4.015*x	1.001*x*y/(x + 1.001) - 0.075*y**2	9	proged	numdif	allonger	predprey	inf	0
10	38	67	0.014928482833562174	0.014928482833562174	0.003*x**3 - 1.012*x**2 - 0.999*x*y/(x + 0.996) + 4.015*x	1.0*x*y/(x + 1.0) - 0.075*y**2	10	proged	numdif	allonger	predprey	inf	0
11	45	84	0.01490049955436968	0.01490049955436968	0.003*x**3 - 1.012*x**2 - 0.999*x*y/(x + 0.996) + 4.015*x	1.0*x*y/(x + 1.0) - 0.075*y**2	11	proged	numdif	allonger	predprey	inf	0
