	system	snr	iinit	TE	TEinf	expr_model	method	data_version	exp_version	benchmark	duration
0	bacres	inf	0	0.28608498392825976	0.28608498392825976	[0.84*(0.04*x_0 + (0.032 - 0.e-3*x_1)*(3.887*x_1 - 155.033) - 1)**2 - 0.8, 0.397*x_0 + (0.388*x_0 - 10.029)*(0.031*x_1 - 1.151) - 0.808]	transformer	all	e1	strogatz	37.29185962677002
1	bacres	30	0	inf	inf		transformer	all	e1	strogatz	
2	bacres	13	0	inf	inf		transformer	all	e1	strogatz	
3	bacres	inf	1	0.1754711296735246	0.1754711296735246	[-9.29*arctan((13.92 - 0.674*x_0)*(0.001*x_1 - 0.049)*(-(0.035 - 0.e-3*x_1)*(4.168*x_1 - 233.786) + 0.008 + 1/(0.07*x_1 - 40.019))) - 0.822, 8.115*sqrt(0.081*x_0 - 0.032*x_1 + 1) - 3.0]	transformer	all	e1	strogatz	36.31859731674194
4	bacres	30	1	inf	inf		transformer	all	e1	strogatz	
5	bacres	13	1	inf	inf		transformer	all	e1	strogatz	
6	bacres	inf	2	0.14672042467962793	0.14672042467962793	[0.11*cos(0.072*x_1 - 3.367) + 0.006*Abs(4854.009*(0.021*x_1 - 1)**2*(0.02*x_0 + 0.005*x_1 - 1)**2 - 3.67) - 0.971, -0.148*x_1 - 0.004*(0.012*x_0 - 1)**2 + (0.947*x_0 - 13.126)*(-0.007*x_1 + (1.99 + 0.098/(0.069*arctan(-0.005*x_1 - 0.571) - 0.055))*(0.014*x_1 - 0.469) + 0.696) + 10.216]	transformer	all	e1	strogatz	39.7004656791687
7	bacres	30	2	inf	inf		transformer	all	e1	strogatz	
8	bacres	13	2	2.661779886612732	3.5259442632612576	[0.004*(0.286 - 0.004*x_0)*(14.45 - 0.004*cos(0.046*x_1 - 21.086 + 5.398/(0.02*x_0 - 0.224)))*(0.285*x_0 + 14.562), 2.854]	transformer	all	e1	strogatz	47.08524417877197
9	bacres	inf	3	0.7709912075568484	0.7709912075568484	[0.014*(1 - 0.021*x_1)**3*(2511.442*(1 - 0.02*x_0)**2 - 0.069), 8.364*sqrt(0.07*x_0 - 0.03*x_1 + 1) - 3.0]	transformer	all	e1	strogatz	31.737534523010254
10	bacres	30	3	inf	inf		transformer	all	e1	strogatz	
11	bacres	13	3	inf	inf		transformer	all	e1	strogatz	
12	barmag	inf	0	1.182059734975147	1.182059734975147	[0.27 - 0.3*arctan((0.031*x_0 - 0.174)*(0.002*x_1 + 84.785)), (0.084 - 0.014*x_0)*(-76.293*x_0 + (13.811 - 2.131*x_1)*(7.105*x_1 - 54.702) + 464.195)]	transformer	all	e1	strogatz	32.77144765853882
13	barmag	30	0	inf	inf		transformer	all	e1	strogatz	
14	barmag	13	0	inf	inf		transformer	all	e1	strogatz	
15	barmag	inf	1	0.5547426961135072	0.5547426961135072	[-0.003*(x_1 - 0.573)**3*(-9.537*x_0 - 0.003*x_1 + 11409.285*(1 - 0.181*x_0)**3 - 46.401) + 0.008 + 0.93/(33.451 - 0.066*x_1), 0.415*arctan(0.092*x_0 - 1.797*x_1 + 1.316) - 0.38]	transformer	all	e1	strogatz	42.608457803726196
16	barmag	30	1	2.2931376392971523	2.8014940827683854	[0.069, (-0.016*x_1 - 0.087)*(3.901*x_1 + (7.427 - 0.687*x_0)*(0.012*x_1 + cos(95.284*x_0 - 548.631) - 0.45) + 1.272 + 0.077/(3.53*x_0 - 20.979))]	transformer	all	e1	strogatz	38.490222215652466
17	barmag	13	1	inf	inf		transformer	all	e1	strogatz	
18	barmag	inf	2	0.7020553898082494	0.7020553898082494	[0.398*(arctan(1.197*x_0 - 0.447*x_1 - 6.711) - 0.385)**2 + 0.009, -0.018*(1 - 0.03*Abs(151.299*x_0 + 0.014*x_1 - 862.258))**2 - 0.025]	transformer	all	e1	strogatz	75.02870726585388
19	barmag	30	2	inf	inf		transformer	all	e1	strogatz	
20	barmag	13	2	inf	inf		transformer	all	e1	strogatz	
21	barmag	inf	3	0.18396103053813298	0.18396103053813298	[1.033*(0.139*x_1 + 0.068)*(-sqrt(0.181*x_1 + 1) + 0.924*arctan(2.493*x_0 - 14.007) - 0.007)**2, (0.06*x_0 - 0.215*x_1 - 0.302)*(2.493*x_0 - (32.412 - 83.271*x_1)*(0.047*x_1 - 0.017)*(cos(15.922*x_1 - 6.225) + 0.217) - 13.91)]	transformer	all	e1	strogatz	26.30148673057556
22	barmag	30	3	inf	inf		transformer	all	e1	strogatz	
23	barmag	13	3	inf	inf		transformer	all	e1	strogatz	
24	glider	inf	0	0.36258535756861227	0.36258535756861227	[-0.578*x_0 + 0.95*sin(0.084*x_0 - 1.065*x_1 + 19.784) + 1.165, -0.204*x_1 - 0.381*sin(5.704*x_0 - 15.059) + 6.19]	transformer	all	e1	strogatz	34.59654474258423
25	glider	30	0	inf	inf		transformer	all	e1	strogatz	
26	glider	13	0	inf	inf		transformer	all	e1	strogatz	
27	glider	inf	1	0.42344625112588863	0.42344625112588863	[0.015*x_1 + 0.99*sin(0.016*x_0 + 0.968*x_1 - 9.005) - 0.244, (0.015*x_0 + 0.045)*(0.168*((-0.084 - 2.178/(x_0*(5.25 - 0.006*(x_0 - 0.28)**2)))*(18.8*cos(0.133*x_1 - 57.156) + 5.8) + (0.013 - 0.009*x_0)*(0.999*x_0 - 1.368))**2 + 14.9)]	transformer	all	e1	strogatz	40.09370756149292
28	glider	30	1	inf	inf		transformer	all	e1	strogatz	
29	glider	13	1	1.8023718547645848	1.738026883970306	[0, 0.991]	transformer	all	e1	strogatz	45.55079627037048
30	glider	inf	2	0.21174317234980322	0.21174317234980322	[(-0.002*x_0 + 0.139*x_1 - 3.825)*(0.035*x_0 - 0.001*x_1 + 0.069) - 0.979*sin(0.984*x_1 - 18.449) - 0.038, -0.052*x_1 + 0.146*sin(10.011*x_0 - 9.919) + 0.092*Abs(7.46 + 27.897*exp(-0.088*x_1)) + 1.71]	transformer	all	e1	strogatz	35.14898157119751
31	glider	30	2	inf	inf		transformer	all	e1	strogatz	
32	glider	13	2	inf	inf		transformer	all	e1	strogatz	
33	glider	inf	3	0.4556960629262302	0.4556960629262302	[-0.16*x_0 - 0.99*cos(0.996*x_1 - 13.884) - 0.295, 0.074*x_0 - 0.111*x_1 + (0.251*x_0 - 0.556)*cos((66.683*x_0 - 147.952)*(0.012*x_1 - 0.164)) + 3.529]	transformer	all	e1	strogatz	36.1231586933136
34	glider	30	3	inf	inf		transformer	all	e1	strogatz	
35	glider	13	3	inf	inf		transformer	all	e1	strogatz	
36	lv	inf	0	0.5587690695877066	0.5587690695877066	[0.013*x_0*(-324.998*x_0 + 146.888*x_1 - 298.094), -0.684*x_1 - 8.199*(x_0 - 0.07)**2 + 1.381]	transformer	all	e1	strogatz	36.68275809288025
37	lv	30	0	inf	inf		transformer	all	e1	strogatz	
38	lv	13	0	inf	inf		transformer	all	e1	strogatz	
39	lv	inf	1	6.356625471292536	6.356625471292536	[(21.464 - 207.638*x_1)*(0.039*x_1 - 0.004) + 0.307 - 0.07/(7.414 - 2.37*x_0), 0.114*x_0 - 1.527*(x_1 + 0.102)**2 - 0.324]	transformer	all	e1	strogatz	41.912116050720215
40	lv	30	1	inf	inf		transformer	all	e1	strogatz	
41	lv	13	1	3.7137697752786982	5.827302009520958	[0, -0.003*x_0 - 0.109]	transformer	all	e1	strogatz	41.8258912563324
42	lv	inf	2	3.060216842335699	3.060216842335699	[-0.442*x_0 + (0.008 - 0.03*x_1)*(-58.116*x_0 + 256.515*x_1 + 154.687) + 1.333, 0.014*x_1*(0.495*x_0 - 179.355*x_1 - 16.452)]	transformer	all	e1	strogatz	30.770689725875854
43	lv	30	2	inf	inf		transformer	all	e1	strogatz	
44	lv	13	2	inf	inf		transformer	all	e1	strogatz	
45	lv	inf	3	0.928630521825721	0.928630521825721	[0.384 - 2.314*sqrt(0.046 - (0.252 - x_0)**3), (0.001 - 9.76/(0.061*sqrt(-(1 - 0.012*cos(118.422*x_0 + 4.88*x_1 - 46.835))**2 + 0.647 + 0.439/(0.005 - 0.003*cos(17.2*log(0.188*x_0 + 0.49) + 0.536))) + 0.008))*(0.076*(x_0 - 0.326)**2 - 0.006)]	transformer	all	e1	strogatz	37.60137414932251
46	lv	30	3	inf	inf		transformer	all	e1	strogatz	
47	lv	13	3	inf	inf		transformer	all	e1	strogatz	
