  index    complexity    length           TE       TE_inf  expr_x                                                                                                         expr_y                                                                  index_column  method    data_version    system       snr    init
    269            59       376  0.000742881  0.000742881  x2*cos((0.281 + 0.338/(x2 + 0.214 + 0.245/(x1*(x1 - 3.111)*(x2 + 1.233))))*(x1 + x2 - 1.347) + 0.573) + 1.265  -0.048*cos(2.5*x1 - 3.141)                                                       269  dso       all             shearflow    inf       3
    218            39       268  0.000754229  0.000754229  x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565                                                     -0.048*cos(2.5*x1 - 3.141)                                                       218  dso       all             shearflow    inf       3
    217            35       275  0.00109152   0.00109152   x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565                                                     (0.374*cos(1.403*x1 + 2.563) - 0.289)*(-0.312*x1 - 0.001*x2 + 1.341)             217  dso       all             shearflow    inf       3
    214            29       239  0.00114525   0.00114525   x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565                                                     0.048*cos(2.517*x1 - 6.341)                                                      214  dso       all             shearflow    inf       3
    213            26       210  0.00121447   0.00121447   x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565                                                     -0.048*cos(2.518*x1 - 3.202)                                                     213  dso       all             shearflow    inf       3
    211            24       190  0.00133724   0.00133724   x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565                                                     0.048*cos(2.497*x1 + 0.009)                                                      211  dso       all             shearflow    inf       3
    143            22       149  0.00482667   0.00482667   (x2 + 1.571)*cos(x1*(5.503 - x1) - 19.928)                                                                     0.048*cos(2.497*x1 + 0.009)                                                      143  dso       all             shearflow    inf       3
    109            20       139  0.00667454   0.00667454   -sin(1.891 - 2.412/x2) - 0.283                                                                                 0.048*cos(2.497*x1 + 0.009)                                                      109  dso       all             shearflow    inf       3
     93            17       135  0.00725898   0.00725898   x2*(0.43*x2 + 2.294) + 2.539                                                                                   0.048*cos(2.497*x1 + 0.009)                                                       93  dso       all             shearflow    inf       3
     75            15       114  0.011784     0.011784     -1.452 - 2.277/x2                                                                                              0.048*cos(2.497*x1 + 0.009)                                                       75  dso       all             shearflow    inf       3
      9            13       114  0.0312626    0.0312626    x2 + 1.57                                                                                                      -0.048*cos(2.518*x1 - 3.202)                                                       9  dso       all             shearflow    inf       3
      8            11        92  0.0313311    0.0313311    x2 + 1.57                                                                                                      0.048*cos(2.497*x1 + 0.009)                                                        8  dso       all             shearflow    inf       3
     25            10        76  0.0367911    0.0367911    cos(x2)                                                                                                        0.048*cos(2.497*x1 + 0.009)                                                       25  dso       all             shearflow    inf       3
      2             7        50  0.0533323    0.0533323    x2 + 1.57                                                                                                      0.105*sin(x1)                                                                      2  dso       all             shearflow    inf       3
     19             6        34  0.0558387    0.0558387    cos(x2)                                                                                                        0.105*sin(x1)                                                                     19  dso       all             shearflow    inf       3
     17             5        31  2.42667      2.42667      cos(x2)                                                                                                        -0.007*x1                                                                         17  dso       all             shearflow    inf       3
