	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
15	269	59	376	0.0007428805700408544	0.0007428805700408544	x2*cos((0.281 + 0.338/(x2 + 0.214 + 0.245/(x1*(x1 - 3.111)*(x2 + 1.233))))*(x1 + x2 - 1.347) + 0.573) + 1.265	-0.048*cos(2.5*x1 - 3.141)	269	dso	all	shearflow	inf	3
14	218	39	268	0.0007542285927866673	0.0007542285927866673	x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565	-0.048*cos(2.5*x1 - 3.141)	218	dso	all	shearflow	inf	3
13	217	35	275	0.0010915167994101206	0.0010915167994101206	x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565	(0.374*cos(1.403*x1 + 2.563) - 0.289)*(-0.312*x1 - 0.001*x2 + 1.341)	217	dso	all	shearflow	inf	3
12	214	29	239	0.0011452451414859476	0.0011452451414859476	x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565	0.048*cos(2.517*x1 - 6.341)	214	dso	all	shearflow	inf	3
11	213	26	210	0.001214471879442106	0.001214471879442106	x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565	-0.048*cos(2.518*x1 - 3.202)	213	dso	all	shearflow	inf	3
10	211	24	190	0.0013372387862826411	0.0013372387862826411	x2*sin(0.197*x1*(-1.885*x1 + x2 + 13.271) - 2.001) + 1.565	0.048*cos(2.497*x1 + 0.009)	211	dso	all	shearflow	inf	3
9	143	22	149	0.0048266697356308666	0.0048266697356308666	(x2 + 1.571)*cos(x1*(5.503 - x1) - 19.928)	0.048*cos(2.497*x1 + 0.009)	143	dso	all	shearflow	inf	3
8	109	20	139	0.006674539958346681	0.006674539958346681	-sin(1.891 - 2.412/x2) - 0.283	0.048*cos(2.497*x1 + 0.009)	109	dso	all	shearflow	inf	3
7	93	17	135	0.007258978800540254	0.007258978800540254	x2*(0.43*x2 + 2.294) + 2.539	0.048*cos(2.497*x1 + 0.009)	93	dso	all	shearflow	inf	3
6	75	15	114	0.01178400700602094	0.01178400700602094	-1.452 - 2.277/x2	0.048*cos(2.497*x1 + 0.009)	75	dso	all	shearflow	inf	3
2	9	13	114	0.031262566840058376	0.031262566840058376	x2 + 1.57	-0.048*cos(2.518*x1 - 3.202)	9	dso	all	shearflow	inf	3
1	8	11	92	0.031331081813767786	0.031331081813767786	x2 + 1.57	0.048*cos(2.497*x1 + 0.009)	8	dso	all	shearflow	inf	3
5	25	10	76	0.036791128884279295	0.036791128884279295	cos(x2)	0.048*cos(2.497*x1 + 0.009)	25	dso	all	shearflow	inf	3
0	2	7	50	0.05333227056223015	0.05333227056223015	x2 + 1.57	0.105*sin(x1)	2	dso	all	shearflow	inf	3
4	19	6	34	0.0558387212648072	0.0558387212648072	cos(x2)	0.105*sin(x1)	19	dso	all	shearflow	inf	3
3	17	5	31	2.426668894105191	2.426668894105191	cos(x2)	-0.007*x1	17	dso	all	shearflow	inf	3
