  index    complexity    length           TE       TE_inf  expr_x                                                                                   expr_y                                               index_column  method    data_version    system       snr    init
    167            60       388  1.62253e-05  1.62253e-05  0.204*(-0.817*x1 + (sin(1.733*x1 - 7.144) - 3.253)/x1 - 3.253/x1)*cos(1.008*x1)*cos(x2)  -0.45*(cos(2.0*x2 + 9.425) - 1.222)*sin(x1)                   167  dso       allonger        shearflow    inf       3
    165            58       387  1.66843e-05  1.66843e-05  0.204*(-0.817*x1 + (sin(1.733*x1 - 7.144) - 3.253)/x1 - 3.253/x1)*cos(1.008*x1)*cos(x2)  -0.45*(cos(2.0*x2 + 9.425) - 1.222)*sin(x1)                   165  dso       allonger        shearflow    inf       3
    139            40       299  2.68636e-05  2.68636e-05  (-0.575 + 2.007*(sin(1.456*x1 - 3.577) + 1.645)/x1)*cos(x2)                              -0.45*(cos(2.0*x2 + 9.425) - 1.222)*sin(x1)                   139  dso       allonger        shearflow    inf       3
    136            38       287  2.71043e-05  2.71043e-05  (-0.575 + 2.007*(sin(1.456*x1 - 3.577) + 1.645)/x1)*cos(x2)                              (0.55 - 0.45*cos(2.0*x2 + 3.142))*cos(x1 - 1.571)             136  dso       allonger        shearflow    inf       3
    133            30       236  3.75048e-05  3.75048e-05  (-0.575 + 2.007*(sin(1.456*x1 - 3.577) + 1.645)/x1)*cos(x2)                              -0.048*sin(2.499*x1 - 1.566)                                  133  dso       allonger        shearflow    inf       3
    106            27       194  0.00011883   0.00011883   x1*(-0.553*x1 + 3.476 - 4.449/x1)*cos(x2)                                                0.048*sin(2.499*x1 + 1.575)                                   106  dso       allonger        shearflow    inf       3
     77            20       159  0.00166508   0.00166508   (-1.006*x2 - 1.58)*cos(1.0*x1)                                                           -0.048*sin(2.499*x1 - 1.566)                                   77  dso       allonger        shearflow    inf       3
     76            18       107  0.003813     0.003813     (-1.006*x2 - 1.58)*cos(1.0*x1)                                                           0.061*sin(2*x1)*cos(x1)                                        76  dso       allonger        shearflow    inf       3
     74            16       101  0.0146692    0.0146692    (-1.006*x2 - 1.58)*cos(1.0*x1)                                                           -0.057*sin(2*x1)                                               74  dso       allonger        shearflow    inf       3
     62            15        75  0.026063     0.026063     (sin(x2) + 1.974)*cos(x2)                                                                0.061*sin(2*x1)*cos(x1)                                        62  dso       allonger        shearflow    inf       3
     34            13        79  0.0281215    0.0281215    0.98*x2 + 1.539                                                                          0.061*sin(2*x1)*cos(x1)                                        34  dso       allonger        shearflow    inf       3
     32            11        73  0.0339863    0.0339863    0.98*x2 + 1.539                                                                          -0.057*sin(2*x1)                                               32  dso       allonger        shearflow    inf       3
     20            10        44  0.0470862    0.0470862    cos(x2)                                                                                  0.061*sin(2*x1)*cos(x1)                                        20  dso       allonger        shearflow    inf       3
     31             9        69  0.0498334    0.0498334    0.98*x2 + 1.539                                                                          0.105*sin(x1)                                                  31  dso       allonger        shearflow    inf       3
     18             8        38  0.0549239    0.0549239    cos(x2)                                                                                  -0.057*sin(2*x1)                                               18  dso       allonger        shearflow    inf       3
     17             6        34  0.0620197    0.0620197    cos(x2)                                                                                  0.105*sin(x1)                                                  17  dso       allonger        shearflow    inf       3
     14             5        32  3.77936      3.77936      cos(x2)                                                                                  -0.001*x1                                                      14  dso       allonger        shearflow    inf       3
