	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
15	459	82	522	0.0002988734495521624	0.0002988734495521624	-1.93*(-0.519*x2 - 0.078*(0.031 - 0.284*cos(x2 + 1.486))*cos(x1) - 0.004)*cos(x1)*cos(x2)/(x2*sin(x2))	-x1**3*(-0.048*x1 + (-0.379*sin(x2) - 0.078)*sin(1.62*x1)*cos(x2 - 1.571) - 0.191/x1)*sin(x1 + 3.141) + 0.958*x1	459	dso	allonger	shearflow	inf	2
11	319	61	432	0.00058612429530685	0.00058612429530685	0.99912555276141809*cos(x1)*cos(x2)/sin(x2)	-x1**3*(-0.048*x1 + (-0.379*sin(x2) - 0.078)*sin(1.62*x1)*cos(x2 - 1.571) - 0.191/x1)*sin(x1 + 3.141) + 0.958*x1	319	dso	allonger	shearflow	inf	2
13	334	54	345	0.0007685842810820547	0.0007685842810820547	cos(x1)*cos(x2 - 0.001)/sin(x2)	x1*(0.026 - 0.016*sin(x1 - 1.455))*(x1 + 22.576)*sin(x2 - 1.571)**2 + 0.066*x1	334	dso	allonger	shearflow	inf	2
10	314	47	371	0.0016811706506578423	0.0016811706506578423	0.99912555276141809*cos(x1)*cos(x2)/sin(x2)	x1*(0.026 - 0.016*sin(x1 - 1.455))*(x1 + 22.576)*sin(x2 - 1.571)**2 + 0.066*x1	314	dso	allonger	shearflow	inf	2
14	390	45	306	0.004581893388898532	0.004581893388898532	(0.007*x2 + 0.99752773986745384*cos(x1)*cos(x2) - 0.007*cos(x2) + 0.011)/sin(x2)	x1**2*(0.575*sin(x2) + 0.006)*sin(x1) + 0.92*x1	390	dso	allonger	shearflow	inf	2
8	290	39	235	0.006628752538747379	0.006628752538747379	1.0*cos(x1)*cos(x2)/sin(x2)	x1**2*(0.575*sin(x2) + 0.006)*sin(x1) + 0.92*x1	290	dso	allonger	shearflow	inf	2
9	310	38	276	0.006816568600399777	0.006816568600399777	0.99912555276141809*cos(x1)*cos(x2)/sin(x2)	x1**2*(0.575*sin(x2) + 0.006)*sin(x1) + 0.92*x1	310	dso	allonger	shearflow	inf	2
12	326	35	186	0.013128692362124729	0.013128692362124729	cos(x1)*cos(x2 - 0.001)/sin(x2)	0.779*x1*sin(x1**2 + 0.806)	326	dso	allonger	shearflow	inf	2
7	269	34	247	0.07944080157194201	0.07944080157194201	(-0.603*x2 + (-2.793*x2 - 4.388)*cos(x1) - 0.946)*cos(x1)	-1.091*x1*cos(1.0*x2 + 1.571) + 1.162*x1	269	dso	allonger	shearflow	inf	2
6	268	29	201	0.07962160266201165	0.07962160266201165	(-0.603*x2 + (-2.793*x2 - 4.388)*cos(x1) - 0.946)*cos(x1)	-1.091*x1*cos(x2 - 4.713) + 1.162*x1	268	dso	allonger	shearflow	inf	2
5	267	27	182	0.08001528586072418	0.08001528586072418	(-0.603*x2 + (-2.793*x2 - 4.388)*cos(x1) - 0.946)*cos(x1)	-1.091*x1*(-sin(x2) - 1.065)	267	dso	allonger	shearflow	inf	2
4	264	23	157	0.10371084441235448	0.10371084441235448	(-0.603*x2 + (-2.793*x2 - 4.388)*cos(x1) - 0.946)*cos(x1)	1.432*x1*cos(x1)	264	dso	allonger	shearflow	inf	2
3	262	22	138	0.4661366223197241	0.4661366223197241	(-0.603*x2 + (-2.793*x2 - 4.388)*cos(x1) - 0.946)*cos(x1)	sin(2*x1)	262	dso	allonger	shearflow	inf	2
2	45	15	73	0.770342445331708	0.770342445331708	0.817 + 1.001/x2	x1*sin(x2) + 1.08*x1	45	dso	allonger	shearflow	inf	2
1	40	10	61	0.9948215804981804	0.9948215804981804	0.817 + 1.001/x2	0.181*x1	40	dso	allonger	shearflow	inf	2
0	0	8	46	2.402847504581956	2.402847504581956	-x2 - 1.568	0.181*x1	0	dso	allonger	shearflow	inf	2
