  complexity    length        TE     TE_inf  expr_x                                                       expr_y                                           index_column  method    exp_type    data_version    system       snr    init
           6         8  8.22293   8.24517    0.029*y                                                      0.176*x                                                     0  proged    numdif      all             shearflow     30       2
          11        21  0.565492  0.543018   -2.235*cos(2.043*x) - 2.206                                  0.176*x                                                     1  proged    numdif      all             shearflow     30       2
          20        43  0.205329  0.134083   -2.235*cos(2.043*x) - 2.206                                  0.305*x*cos(1.973*y) + 0.391*x + 0.023                      2  proged    numdif      all             shearflow     30       2
          23        50  0.204706  0.16709    -0.204*y - 2.063*cos(2.082*x) - 2.366                        0.305*x*cos(1.973*y) + 0.391*x + 0.023                      3  proged    numdif      all             shearflow     30       2
          27        58  0.186144  0.1287     -0.204*y - 2.063*cos(2.082*x) - 2.366                        0.4*x - 0.401*sin(5.0*x) + 0.128*cos(4.044*y)               4  proged    numdif      all             shearflow     30       2
          29        64  0.175012  0.100385   -0.791*x*y - 0.318*x - 1.282*y - 2.018*cos(1.929*x) - 2.573  0.593*x - 0.451*cos(1.986*y) + 0.324                        5  proged    numdif      all             shearflow     30       2
          32        68  0.16038   0.0948647  -0.791*x*y - 0.318*x - 1.282*y - 2.018*cos(1.929*x) - 2.573  0.28*x*cos(2.076*y) + 0.44*x - 0.085*y                      6  proged    numdif      all             shearflow     30       2
          30        66  0.162071  0.0910781  -0.791*x*y - 0.318*x - 1.282*y - 2.018*cos(1.929*x) - 2.573  0.305*x*cos(1.973*y) + 0.391*x + 0.023                      7  proged    numdif      all             shearflow     30       2
          10        16  1.40238   1.40679    0.102 - 0.227/y**2                                           0.176*x                                                     8  proged    numdif      all             shearflow     30       2
          18        36  0.325446  0.285691   0.102 - 0.227/y**2                                           0.593*x - 0.451*cos(1.986*y) + 0.324                        9  proged    numdif      all             shearflow     30       2
          12        23  0.561991  0.539951   3.272*x*sin(1.346*x) - 4.402                                 0.176*x                                                    10  proged    numdif      all             shearflow     30       2
           8        11  1.87052   1.88265    -0.214/y**2                                                  0.176*x                                                    11  proged    numdif      all             shearflow     30       2
          24        52  0.203217  0.165763   3.07*x*sin(1.365*x) - 0.196*y - 4.382                        0.305*x*cos(1.973*y) + 0.391*x + 0.023                     12  proged    numdif      all             shearflow     30       2
