	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	1.6762570067747755	1.7002639560561015	-0.18*y	0.169*x	0	proged	numdif	all	shearflow	30	0
1	7	10	1.6672641071470662	1.6901265461721513	-0.18*y	-0.099*x*y	1	proged	numdif	all	shearflow	30	0
2	19	38	0.6704500213820357	0.656617095402697	-0.272*y + 0.89*cos(2.323*x) + 0.472	0.013*x*y**4 + 0.008	2	proged	numdif	all	shearflow	30	0
3	24	48	0.3849077651364274	0.31974881896374496	-0.272*y + 0.89*cos(2.323*x) + 0.472	0.157*x/(4.769*cos(2.938*x) + 4.948)	3	proged	numdif	all	shearflow	30	0
4	17	33	0.8491779299786608	0.8470104730384431	-0.272*y + 0.89*cos(2.323*x) + 0.472	0.013*x*y**4	4	proged	numdif	all	shearflow	30	0
5	8	11	1.488888681364828	1.508620094624468	0.022*y**4	0.169*x	5	proged	numdif	all	shearflow	30	0
6	11	16	1.0270229152665624	1.0114151381921095	0.022*y**4	0.013*x*y**4	6	proged	numdif	all	shearflow	30	0
7	20	40	0.6166363766953649	0.6028244842922961	-0.342*y*cos(2.236*x) - 0.561*y - 0.325	0.013*x*y**4 + 0.008	7	proged	numdif	all	shearflow	30	0
8	22	43	0.47897799592088675	0.4481071632744533	1.38*x**2 - 1.786*y*cos(1.085*x) - 2.811	0.013*x*y**4 + 0.008	8	proged	numdif	all	shearflow	30	0
9	27	53	0.24645583494900608	0.15413631068893016	1.38*x**2 - 1.786*y*cos(1.085*x) - 2.811	0.157*x/(4.769*cos(2.938*x) + 4.948)	9	proged	numdif	all	shearflow	30	0
10	23	48	0.46908927545339385	0.4351192056997667	0.677*cos(1.908*y) + 0.641*cos(1.233*x*y) + 1.288	0.013*x*y**4 + 0.008	10	proged	numdif	all	shearflow	30	0
11	18	33	0.6919870355435513	0.6790931981513688	-0.479*y + 0.806*cos(2.471*x)	0.013*x*y**4 + 0.008	11	proged	numdif	all	shearflow	30	0
12	16	28	0.8859594042587154	0.884315153725592	-0.479*y + 0.806*cos(2.471*x)	0.013*x*y**4	12	proged	numdif	all	shearflow	30	0
