	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	exp_type	data_version	system	snr	init
0	6	8	2.926726774556174	2.926726774556174	0.024*x	-0.029*x	0	proged	numdif	all	shearflow	inf	1
1	8	13	1.0618140832968392	1.0618140832968392	0.872*y - 1.394	-0.029*x	1	proged	numdif	all	shearflow	inf	1
2	9	15	0.6150703120099896	0.6150703120099896	0.872*y - 1.394	-0.019*x*y	2	proged	numdif	all	shearflow	inf	1
3	10	17	0.4231148345140455	0.4231148345140455	-0.176*x*y - 1.162	-0.019*x*y	3	proged	numdif	all	shearflow	inf	1
4	20	40	0.3395696945298847	0.3395696945298847	-0.176*x*y - 1.162	-0.011*x**2*cos(2.605*x) - 0.158*x - 0.535	4	proged	numdif	all	shearflow	inf	1
5	25	55	0.078110800037176	0.078110800037176	-0.009*x + 3.154*y + 1.39*sin(1.995*y) - 5.0	0.296*x + 0.478*cos(1.515*x) + 0.912	5	proged	numdif	all	shearflow	inf	1
6	22	48	0.2487679195363331	0.2487679195363331	3.17*y + 1.402*sin(1.99*y) - 5.0	0.296*x + 0.478*cos(1.515*x) + 0.912	6	proged	numdif	all	shearflow	inf	1
7	23	50	0.24275391719429823	0.24275391719429823	-0.01*x*y + 3.14*y + 1.403*sin(1.999*y) - 5.0	0.018 - 0.19*cos(2.45*x)	7	proged	numdif	all	shearflow	inf	1
8	26	57	0.04871342218983981	0.04871342218983981	-0.01*x*y + 3.14*y + 1.403*sin(1.999*y) - 5.0	0.296*x + 0.478*cos(1.515*x) + 0.912	8	proged	numdif	all	shearflow	inf	1
9	32	66	0.044995413398071796	0.044995413398071796	-0.01*x*y + 3.14*y + 1.403*sin(1.999*y) - 5.0	0.062*x*sin(2.127*x) - 0.229*x - 1.381 - 1.84/x	9	proged	numdif	all	shearflow	inf	1
