  index    complexity    length        TE    TE_inf  expr_x                                             expr_y                                            index_column  method    data_version    system      snr    init
    183            28       199  0.456857  0.171268  x2*(-0.643*x2*(x1 + 1.771)*(-x2 - 0.022) - 3.814)  x1*(-0.533*x1*(x1 + 0.192) - 0.533*x2 + 3.336)             183  dso       all             stl          13       1
    229            25       145  0.457239  0.138959  x2*(-3.428 - (x2**2 - 0.351)/(0.873*x1 - 0.996))   x1*(2.878 - 0.43*x2)                                       229  dso       all             stl          13       1
    108            22       146  0.462735  0.149297  x2*(1.238*x2**2 - 3.872)                           x1*(-0.533*x1*(x1 + 0.192) - 0.533*x2 + 3.336)             108  dso       all             stl          13       1
     83            20       128  0.514392  0.266905  x2*(x2**2 - 3.669)                                 x1*(-0.533*x1*(x1 + 0.192) - 0.533*x2 + 3.336)              83  dso       all             stl          13       1
    154            19       121  0.656057  0.481013  x2*(0.634*x2**2*(x1 + 1.804) - 3.819)              x1*(2.878 - 0.43*x2)                                       154  dso       all             stl          13       1
    104            16        95  0.784412  0.632854  x2*(1.238*x2**2 - 3.872)                           x1*(2.878 - 0.43*x2)                                       104  dso       all             stl          13       1
     79            14        77  0.934822  0.815242  x2*(x2**2 - 3.669)                                 x1*(2.878 - 0.43*x2)                                        79  dso       all             stl          13       1
      5            12        71  1.216     1.13754   -2.815*x2                                          x1*(3.522 - 0.796*x1**2)                                     5  dso       all             stl          13       1
     75            10        52  1.44738   1.37845   x2*(x2**2 - 3.669)                                 2.851*x1                                                    75  dso       all             stl          13       1
      3             8        65  1.74041   1.69442   -2.815*x2                                          2.85*x1 + 0.015                                              3  dso       all             stl          13       1
      0             6        43  1.74293   1.69718   -2.815*x2                                          2.851*x1                                                     0  dso       all             stl          13       1
