  index    complexity    length        TE    TE_inf  expr_x                                        expr_y                                                                index_column  method    data_version    system      snr    init
    158            50       146  0.590546  0.590546  x2*(x1 - x2*(1.302*x1 + 0.809) + x2 - 3.112)  3*x1 + x2**2*(2*x1 + x2)/(x2 + (x2 + 1/x2)/(x1**2*x2*(2*x1 + x2)))             158  dso       all             stl         inf       2
     86            46       120  0.591899  0.591899  x2*(-x1*(x2 - 1.44) - 3.186)                  3*x1 + x2**2*(2*x1 + x2)/(x2 + (x2 + 1/x2)/(x1**2*x2*(2*x1 + x2)))              86  dso       all             stl         inf       2
    156            43       133  0.592251  0.592251  x2*(x1 - x2*(1.302*x1 + 0.809) + x2 - 3.112)  3*x1 + x2**2*(2*x1 + x2)/(x2 + 2/(x1**2*(2*x1 + x2)))                          156  dso       all             stl         inf       2
     83            41       109  0.610944  0.610944  x2*(-x1*(x2 - 1.44) - 3.186)                  3*x1 + x2**2*(2*x1 + x2)/(x2 + 2/(x1**2*(2*x1 + 2*x2)))                         83  dso       all             stl         inf       2
    120            39       126  0.645179  0.645179  x2*(-1.454*x1*(x2 - 0.555) - 3.134)           3*x1 + x2**2*(2*x1 + x2)/(x2 + 2/(x1**2*(2*x1 + x2)))                          120  dso       all             stl         inf       2
     93            18        86  0.866534  0.866534  x2*(x2*(0.243 - 1.879*x1) - 3.09)             x1**2 + 3*x1                                                                    93  dso       all             stl         inf       2
    111            17        85  0.905277  0.905277  x2*(-1.454*x1*(x2 - 0.555) - 3.134)           x1**2 + 3*x1                                                                   111  dso       all             stl         inf       2
      7            16        48  1.67137   1.67137   -4.098*x2                                     3*x1 - x2**2*(x1 + x2) + x2                                                      7  dso       all             stl         inf       2
     90            14        78  2.48114   2.48114   x2*(x2*(0.243 - 1.879*x1) - 3.09)             2*x1                                                                            90  dso       all             stl         inf       2
    108            13        77  2.59724   2.59724   x2*(-1.454*x1*(x2 - 0.555) - 3.134)           2*x1                                                                           108  dso       all             stl         inf       2
     36            11        51  5.13729   5.13729   -2.835*x2*(1.164 - x1)                        2*x1                                                                            36  dso       all             stl         inf       2
      0             6        25  6.52547   6.52547   -4.098*x2                                     2*x1                                                                             0  dso       all             stl         inf       2
