	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
10	356	86	510	0.31847338311241624	0.3166523388486624	x2*(-18.207*x1 + (x1*(-0.122*x2**2*(-2*x1 + x2) + 2.813) - 2.734)*(-x1*x2*(x1 + 0.641) + 6.435) + 14.387) - 0.113	3.389*x1 + 0.291*x2*(x1**2 - x2 + (0.131 - x1)*(x2 + 1.088))*(-x1*x2 + x1*(x1 + 1.088*x1/x2 + x2 + 2.199) - 1.246*x1 + 2.493*x2 - 1.452) + 0.755*x2 - 0.384	356	dso	all	stl	30	2
5	314	84	526	0.36533449056762224	0.3644947626856284	x2*(-0.991*x1 + (0.991*x1 + 0.552)*(x1*(-0.198*x1*x2*(x1*(-x1 - 2.83) + 9.689) + x2 + 0.485) + 0.687) - 3.481)	3.389*x1 + 0.291*x2*(x1**2 - x2 + (0.131 - x1)*(x2 + 1.088))*(-x1*x2 + x1*(x1 + 1.088*x1/x2 + x2 + 2.199) - 1.246*x1 + 2.493*x2 - 1.452) + 0.755*x2 - 0.384	314	dso	all	stl	30	2
9	352	73	488	0.48500475805603477	0.4875068874361891	x2*(-18.207*x1 + (x1*(-0.122*x2**2*(-2*x1 + x2) + 2.813) - 2.734)*(-x1*x2*(x1 + 0.641) + 6.435) + 14.387) - 0.113	x1*(x1 + x2*((-8.388*x1 - 2.178)*(0.015*x1*(-1.086*x1 - 4.732) + 0.015*x2) - 1.467) + 3.019) - 0.284*x2*(x1 - 3.955)*(x1 + x2) - 1.031	352	dso	all	stl	30	2
8	351	71	432	0.5769878899574103	0.5794129764457873	x2*(-18.207*x1 + (x1*(-0.122*x2**2*(-2*x1 + x2) + 2.813) - 2.734)*(-x1*x2*(x1 + 0.641) + 6.435) + 14.387) - 0.113	x1*(x1 + x2*(-0.12*x1*(x1*x2*(-x1 - 4.253) + x2)/x2 - 0.288) + 3.01) - 0.284*x2*(x1 - 3.938)*(x2 + 0.011) - 1.046	351	dso	all	stl	30	2
6	349	69	444	0.6562459064482167	0.6586965858492149	x2*(-18.207*x1 + (x1*(-0.122*x2**2*(-2*x1 + x2) + 2.813) - 2.734)*(-x1*x2*(x1 + 0.641) + 6.435) + 14.387) - 0.113	-0.582*x1*(x1 + (x1 + 0.81)/(x1*(-0.076*x1 - 0.138*x2**2 + 0.067) - 0.3) - 0.785) + x1 + 1.33*x2**2 - 1.245	349	dso	all	stl	30	2
7	350	67	444	0.6837968668298642	0.686464656059381	x2*(-18.207*x1 + (x1*(-0.122*x2**2*(-2*x1 + x2) + 2.813) - 2.734)*(-x1*x2*(x1 + 0.641) + 6.435) + 14.387) - 0.113	x1*(x1 + x2*(0.13*x1**2*(x1 + 4.484) - 0.334) + 3.019) - 0.316*x2*(x1 - 3.546)*(x2 - 0.019) - 1.046	350	dso	all	stl	30	2
4	90	24	169	0.7636311421012634	0.7620409060281115	x2*(x1*(0.712 - 1.565*x2) - 3.121)	3.254*x1 - 1.319*x2**2*(x1 - 0.33) - 0.156	90	dso	all	stl	30	2
3	69	22	146	0.7801067334388199	0.7789196281859994	1.983*x2*(-x1*x2 - 1.571)	3.254*x1 - 1.319*x2**2*(x1 - 0.33) - 0.156	69	dso	all	stl	30	2
2	63	12	71	2.3993469270220436	2.4050287583488563	1.983*x2*(-x1*x2 - 1.571)	1.646*x1	63	dso	all	stl	30	2
1	2	8	33	4.004036248051305	4.010955160607036	x1**2	x1*(x2 + 2.241)	2	dso	all	stl	30	2
0	1	6	25	9.802614864504143	9.829663599650669	x1**2	1.646*x1	1	dso	all	stl	30	2
