  index    complexity    length          TE      TE_inf  expr_x                                                                                                                      expr_y                                                                                                                index_column  method    data_version    system      snr    init
    664           101       500  0.005609    0.005609    x1*(x2*(1.048*x1**2/x2 + x2)*(x2*(0.913*x2 + 50.545)*(0.001*x1**2/x2 + 0.019) - x2 - 1.121) + 1.106) + x2*(0.035*x1 - 3.0)  -x1**2*x2 + 3.0*x1 - 1.005*x2**3 - x2*(-0.e-3*x1**3*x2**2*(2.387 - x2)*(-x1 + x2*(x1 - 7.523*x2**4)) - 0.003) + x2             664  dso       allonger        stl         inf       0
    432            83       436  0.00570641  0.00570641  -0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004                                  -x1**2*x2 + 3.0*x1 - 1.005*x2**3 - x2*(-0.e-3*x1**3*x2**2*(2.387 - x2)*(-x1 + x2*(x1 - 7.523*x2**4)) - 0.003) + x2             432  dso       allonger        stl         inf       0
    533            58       377  0.00831047  0.00831047  0.003*x1**3*(x2 - 352.439) - (-x2 + 0.009 + 9.945/(x2 + 9.036))*(0.089*x1*x2 + (x1 + 0.032)*(-x2 - 0.909) - 2.674) - 3.001  -0.971*x1**2*x2 + 3.002*x1 - 0.969*x2**3 + 0.971*x2 - 0.e-3                                                                    533  dso       allonger        stl         inf       0
    446            50       351  0.00841345  0.00841345  x2*(x1*(-1.004*x2 - 0.e-3 - (x1 + 1.0)*(1.003*x1 - 1.003)/x2) - 0.01*x2**2 - 2.992)                                         -0.971*x1**2*x2 + 3.002*x1 - 0.969*x2**3 + 0.971*x2 - 0.e-3                                                                    446  dso       allonger        stl         inf       0
    417            47       305  0.00878371  0.00878371  -0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004                                  -0.971*x1**2*x2 + 3.002*x1 - 0.969*x2**3 + 0.971*x2 - 0.e-3                                                                    417  dso       allonger        stl         inf       0
    416            45       268  0.012107    0.012107    -0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004                                  -x1**2*x2 + 3.0*x1 - 0.979*x2**3 + x2                                                                                          416  dso       allonger        stl         inf       0
    415            44       244  0.0122108   0.0122108   -0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004                                  -x1**2*x2 + 3.0*x1 - 0.979*x2**3 + x2                                                                                          415  dso       allonger        stl         inf       0
    414            43       282  0.0696617   0.0696617   -0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004                                  x1*(-0.512*x1*x2**2*(x2 + 0.859) + 3.002) + 0.057                                                                              414  dso       allonger        stl         inf       0
    155            31       162  0.0975398   0.0975398   x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)                                                                                        -x1**2*x2 + 3.0*x1 - 0.979*x2**3 + x2                                                                                          155  dso       allonger        stl         inf       0
    154            30       138  0.0976153   0.0976153   x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)                                                                                        -x1**2*x2 + 3.0*x1 - 0.979*x2**3 + x2                                                                                          154  dso       allonger        stl         inf       0
    149            25       128  0.294479    0.294479    x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)                                                                                        x1*(x2*(x2**2 - 0.432) + 3.02)                                                                                                 149  dso       allonger        stl         inf       0
    148            21       105  0.299763    0.299763    x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)                                                                                        x1*(x2**3 + 3.004)                                                                                                             148  dso       allonger        stl         inf       0
    146            19       102  0.549198    0.549198    x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)                                                                                        x1*(x2 + 3.1)                                                                                                                  146  dso       allonger        stl         inf       0
    116            17       102  0.859122    0.859122    x2*(x1*(0.465*x1*x2 - 0.465*x2) - 2.974)                                                                                    3.137*x1                                                                                                                       116  dso       allonger        stl         inf       0
      3            10        52  3.49902     3.49902     -2.862*x2                                                                                                                   x1*(x2**3 + 3.004)                                                                                                               3  dso       allonger        stl         inf       0
      0             6        42  3.55229     3.55229     -2.862*x2                                                                                                                   3.137*x1                                                                                                                         0  dso       allonger        stl         inf       0
