	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
10	327	46	283	0.5018533386327048	0.25252949938691094	-1.856*x1**2/(-x1 - x2*(x2 + 4.808)*(x1 - 2*x2 + 0.441)*(x1 - 0.162*x2 - 0.185) + 9.45) - 2.911*x2 + 0.1	x1*(3.434 + 0.312/(x1 - 1.372))	327	dso	allonger	stl	13	1
9	106	22	128	0.6614912701151746	0.5056884244064525	-2.833*x2*(x1 + 0.993)/(x1 + 0.995)	x1*(x1*(-x1 - 0.043) + 3.727)	106	dso	allonger	stl	13	1
8	46	17	103	0.6769063088314827	0.527190736731701	0.117*x2*(x2 - 24.3)	x1*(x1*(-x1 - 0.043) + 3.727)	46	dso	allonger	stl	13	1
6	26	16	97	0.6917655156499015	0.5470874822240397	0.025 - 2.846*x2	x1*(x1*(-x1 - 0.043) + 3.727)	26	dso	allonger	stl	13	1
3	6	14	77	0.7285257142253649	0.5945763606647512	-2.839*x2	x1*(x1*(-x1 - 0.043) + 3.727)	6	dso	allonger	stl	13	1
2	5	12	71	2.5602128829081603	2.588958096683531	-2.839*x2	x1*(2.844 + 0.002/x2)	5	dso	allonger	stl	13	1
1	4	11	70	2.6005406313261723	2.6364459471146104	-2.839*x2	0.219*x1*(12.988 - x2)	4	dso	allonger	stl	13	1
5	22	10	82	2.6105020357535405	2.6473165846012785	0.025 - 2.846*x2	2.845*x1 - 0.023	22	dso	allonger	stl	13	1
7	41	9	68	2.6129799617825453	2.6499597253449383	0.117*x2*(x2 - 24.3)	2.843*x1	41	dso	allonger	stl	13	1
4	21	8	62	2.6135989526996277	2.650504209609316	0.025 - 2.846*x2	2.843*x1	21	dso	allonger	stl	13	1
0	1	6	42	2.6318663061925447	2.669197706726644	-2.839*x2	2.843*x1	1	dso	allonger	stl	13	1
