	index	complexity	length	TE	TE_inf	expr_x	expr_y	index_column	method	data_version	system	snr	init
15	664	101	500	0.005609002151210929	0.005609002151210929	x1*(x2*(1.048*x1**2/x2 + x2)*(x2*(0.913*x2 + 50.545)*(0.001*x1**2/x2 + 0.019) - x2 - 1.121) + 1.106) + x2*(0.035*x1 - 3.0)	-x1**2*x2 + 3.0*x1 - 1.005*x2**3 - x2*(-0.e-3*x1**3*x2**2*(2.387 - x2)*(-x1 + x2*(x1 - 7.523*x2**4)) - 0.003) + x2	664	dso	allonger	stl	inf	0
12	432	83	436	0.0057064094165208	0.0057064094165208	-0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004	-x1**2*x2 + 3.0*x1 - 1.005*x2**3 - x2*(-0.e-3*x1**3*x2**2*(2.387 - x2)*(-x1 + x2*(x1 - 7.523*x2**4)) - 0.003) + x2	432	dso	allonger	stl	inf	0
14	533	58	377	0.00831047459114005	0.00831047459114005	0.003*x1**3*(x2 - 352.439) - (-x2 + 0.009 + 9.945/(x2 + 9.036))*(0.089*x1*x2 + (x1 + 0.032)*(-x2 - 0.909) - 2.674) - 3.001	-0.971*x1**2*x2 + 3.002*x1 - 0.969*x2**3 + 0.971*x2 - 0.e-3	533	dso	allonger	stl	inf	0
13	446	50	351	0.008413446586531127	0.008413446586531127	x2*(x1*(-1.004*x2 - 0.e-3 - (x1 + 1.0)*(1.003*x1 - 1.003)/x2) - 0.01*x2**2 - 2.992)	-0.971*x1**2*x2 + 3.002*x1 - 0.969*x2**3 + 0.971*x2 - 0.e-3	446	dso	allonger	stl	inf	0
11	417	47	305	0.008783711060226667	0.008783711060226667	-0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004	-0.971*x1**2*x2 + 3.002*x1 - 0.969*x2**3 + 0.971*x2 - 0.e-3	417	dso	allonger	stl	inf	0
10	416	45	268	0.012107017290363137	0.012107017290363137	-0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004	-x1**2*x2 + 3.0*x1 - 0.979*x2**3 + x2	416	dso	allonger	stl	inf	0
9	415	44	244	0.012210813687444373	0.012210813687444373	-0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004	-x1**2*x2 + 3.0*x1 - 0.979*x2**3 + x2	415	dso	allonger	stl	inf	0
8	414	43	282	0.06966174012952972	0.06966174012952972	-0.997*x1**3 - (x2 - 1.001)*(1.992*x1*x2 + x2 + (0.995 - x2)*(x1 + 0.999) + 2.007) - 3.004	x1*(-0.512*x1*x2**2*(x2 + 0.859) + 3.002) + 0.057	414	dso	allonger	stl	inf	0
7	155	31	162	0.09753984080943481	0.09753984080943481	x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)	-x1**2*x2 + 3.0*x1 - 0.979*x2**3 + x2	155	dso	allonger	stl	inf	0
6	154	30	138	0.09761526037961041	0.09761526037961041	x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)	-x1**2*x2 + 3.0*x1 - 0.979*x2**3 + x2	154	dso	allonger	stl	inf	0
5	149	25	128	0.2944793874649785	0.2944793874649785	x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)	x1*(x2*(x2**2 - 0.432) + 3.02)	149	dso	allonger	stl	inf	0
4	148	21	105	0.2997629750820814	0.2997629750820814	x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)	x1*(x2**3 + 3.004)	148	dso	allonger	stl	inf	0
3	146	19	102	0.5491975814251968	0.5491975814251968	x2*(x1*x2/(-4.762*x1 - 6.796) - 3.0)	x1*(x2 + 3.1)	146	dso	allonger	stl	inf	0
2	116	17	102	0.8591217234390649	0.8591217234390649	x2*(x1*(0.465*x1*x2 - 0.465*x2) - 2.974)	3.137*x1	116	dso	allonger	stl	inf	0
1	3	10	52	3.4990155230419653	3.4990155230419653	-2.862*x2	x1*(x2**3 + 3.004)	3	dso	allonger	stl	inf	0
0	0	6	42	3.5522924727513434	3.5522924727513434	-2.862*x2	3.137*x1	0	dso	allonger	stl	inf	0
