  complexity    length        TE    TE_inf  expr_x                                                  expr_y                               index_column  method    exp_type    data_version    system      snr    init
          10        15  1.57397   1.57397   -0.305*x - 2.551*y                                      3.29*x                                          0  proged    numdif      all             stl         inf       0
          14        22  1.44673   1.44673   -0.305*x - 2.551*y                                      3.238*x - 0.524*y                               1  proged    numdif      all             stl         inf       0
           8        13  3.68325   3.68325   0.168 - 2.516*y                                         3.29*x                                          2  proged    numdif      all             stl         inf       0
          12        20  1.55953   1.55953   0.168 - 2.516*y                                         3.238*x - 0.524*y                               3  proged    numdif      all             stl         inf       0
           6         8  3.7738    3.7738    -2.521*y                                                3.29*x                                          4  proged    numdif      all             stl         inf       0
          28        49  0.341029  0.341029  -0.155*x*y**2/(x + 1.404) - 2.955*y                     0.483*x**5*y**2 + 2.948*x - 0.e-3               5  proged    numdif      all             stl         inf       0
          15        23  0.761275  0.761275  -0.605*x**3*y**2 - 2.933*y                              3.29*x                                          6  proged    numdif      all             stl         inf       0
          17        28  0.74148   0.74148   -0.605*x**3*y**2 - 2.933*y                              3.28*x - 0.127                                  7  proged    numdif      all             stl         inf       0
          20        32  0.587604  0.587604  -0.605*x**3*y**2 - 2.933*y                              1.37*x*y + 3.159*x                              8  proged    numdif      all             stl         inf       0
          22        35  0.455189  0.455189  -0.605*x**3*y**2 - 2.933*y                              1.082*x*y**2 + 2.775*x                          9  proged    numdif      all             stl         inf       0
          25        43  0.430779  0.430779  -0.605*x**3*y**2 - 2.933*y                              0.483*x**5*y**2 + 2.948*x - 0.e-3              10  proged    numdif      all             stl         inf       0
          27        51  0.404333  0.404333  -0.974*x**3 - 0.814*x*y**2 + 0.928*x - 2.946*y + 0.012  1.37*x*y + 3.159*x                             11  proged    numdif      all             stl         inf       0
          29        54  0.258698  0.258698  -0.974*x**3 - 0.814*x*y**2 + 0.928*x - 2.946*y + 0.012  1.082*x*y**2 + 2.775*x                         12  proged    numdif      all             stl         inf       0
          16        28  0.75293   0.75293   -0.598*x**3*y**2 - 2.927*y + 0.049                      3.29*x                                         13  proged    numdif      all             stl         inf       0
          18        33  0.73366   0.73366   -0.598*x**3*y**2 - 2.927*y + 0.049                      3.28*x - 0.127                                 14  proged    numdif      all             stl         inf       0
          21        37  0.536578  0.536578  -0.598*x**3*y**2 - 2.927*y + 0.049                      1.37*x*y + 3.159*x                             15  proged    numdif      all             stl         inf       0
          23        40  0.446708  0.446708  -0.598*x**3*y**2 - 2.927*y + 0.049                      1.082*x*y**2 + 2.775*x                         16  proged    numdif      all             stl         inf       0
          26        48  0.42301   0.42301   -0.598*x**3*y**2 - 2.927*y + 0.049                      0.483*x**5*y**2 + 2.948*x - 0.e-3              17  proged    numdif      all             stl         inf       0
