  complexity    length       TE    TE_inf  expr_x                                     expr_y                                                              index_column  method    exp_type    data_version    system      snr    init
          16        29  2.27878   2.29923  0.025*x/(x - 0.905) - 2.83*y - 0.02        2.843*x                                                                        0  proged    numdif      allonger        stl          13       1
          18        34  2.27203   2.29216  0.025*x/(x - 0.905) - 2.83*y - 0.02        2.844*x - 0.023                                                                1  proged    numdif      allonger        stl          13       1
          36        72  1.77504   1.77126  0.025*x/(x - 0.905) - 2.83*y - 0.02        -0.017*x**7*y**4/((0.655*x - 1)**3*(y - 0.905)) + 2.96*x + 0.037               2  proged    numdif      allonger        stl          13       1
           6         8  2.60474   2.64114  -2.845*y                                   2.843*x                                                                        3  proged    numdif      allonger        stl          13       1
           8        13  2.60336   2.63973  -2.845*y                                   2.844*x - 0.023                                                                4  proged    numdif      allonger        stl          13       1
          11        17  2.57213   2.60704  -2.845*y                                   -0.216*x*y + 2.846*x                                                           5  proged    numdif      allonger        stl          13       1
          26        51  1.87511   1.87867  -2.845*y                                   -0.017*x**7*y**4/((0.655*x - 1)**3*(y - 0.905)) + 2.96*x + 0.037               6  proged    numdif      allonger        stl          13       1
          12        19  2.50719   2.53657  -2.78*x*y/(x + 0.004)                      2.843*x                                                                        7  proged    numdif      allonger        stl          13       1
          14        24  2.30896   2.33061  -2.78*x*y/(x + 0.004)                      2.844*x - 0.023                                                                8  proged    numdif      allonger        stl          13       1
          20        34  2.06816   2.0775   0.028*x**2/(x - 0.905) - 0.098*x - 2.83*y  2.843*x                                                                        9  proged    numdif      allonger        stl          13       1
          22        39  2.06536   2.07457  0.028*x**2/(x - 0.905) - 0.098*x - 2.83*y  2.844*x - 0.023                                                               10  proged    numdif      allonger        stl          13       1
          25        43  2.05582   2.06455  0.028*x**2/(x - 0.905) - 0.098*x - 2.83*y  -0.216*x*y + 2.846*x                                                          11  proged    numdif      allonger        stl          13       1
          40        77  1.68875   1.67847  0.028*x**2/(x - 0.905) - 0.098*x - 2.83*y  -0.017*x**7*y**4/((0.655*x - 1)**3*(y - 0.905)) + 2.96*x + 0.037              12  proged    numdif      allonger        stl          13       1
