  complexity    length        TE     TE_inf  expr_x                                                  expr_y                                                               index_column  method    exp_type    data_version    system      snr    init
           8        13  3.52193   3.51728    0.062 - 2.855*y                                         3.121*x                                                                         0  proged    numdif      allonger        stl          30       0
          12        20  1.3696    1.36721    0.062 - 2.855*y                                         3.114*x - 0.206*y                                                               1  proged    numdif      allonger        stl          30       0
           6         8  3.55699   3.55232    -2.856*y                                                3.121*x                                                                         2  proged    numdif      allonger        stl          30       0
          10        15  1.38047   1.37806    -2.856*y                                                3.114*x - 0.206*y                                                               3  proged    numdif      allonger        stl          30       0
          26        46  0.337932  0.33253    -0.256*x*y**2/(x + 1.457) - 2.999*y                     0.733*x*y**3 + 3.022*x - 0.007                                                  4  proged    numdif      allonger        stl          30       0
          27        44  0.314907  0.309325   -0.256*x*y**2/(x + 1.457) - 2.999*y                     0.51*x**3*y**3 + 3.009*x                                                        5  proged    numdif      allonger        stl          30       0
          25        41  0.341253  0.335954   -0.256*x*y**2/(x + 1.457) - 2.999*y                     0.734*x*y**3 + 3.023*x                                                          6  proged    numdif      allonger        stl          30       0
          15        23  0.862644  0.860839   -0.781*x**3*y**2 - 2.994*y                              3.121*x                                                                         7  proged    numdif      allonger        stl          30       0
          17        28  0.851852  0.850062   -0.781*x**3*y**2 - 2.994*y                              3.117*x - 0.046                                                                 8  proged    numdif      allonger        stl          30       0
          20        32  0.611629  0.609217   -0.781*x**3*y**2 - 2.994*y                              0.758*x*y + 3.093*x                                                             9  proged    numdif      allonger        stl          30       0
          24        38  0.404547  0.400964   -0.781*x**3*y**2 - 2.994*y                              0.51*x**3*y**3 + 3.009*x                                                       10  proged    numdif      allonger        stl          30       0
          22        35  0.417844  0.414327   -0.781*x**3*y**2 - 2.994*y                              0.734*x*y**3 + 3.023*x                                                         11  proged    numdif      allonger        stl          30       0
          30        59  0.186675  0.175128   -1.018*x**3 - 1.044*x*y**2 + 1.024*x - 3.001*y - 0.e-3  0.733*x*y**3 + 3.022*x - 0.007                                                 12  proged    numdif      allonger        stl          30       0
          31        57  0.135088  0.118928   -1.018*x**3 - 1.044*x*y**2 + 1.024*x - 3.001*y - 0.e-3  0.51*x**3*y**3 + 3.009*x                                                       13  proged    numdif      allonger        stl          30       0
          40        78  0.128977  0.112231   -1.018*x**3 - 1.044*x*y**2 + 1.024*x - 3.001*y - 0.e-3  -0.804*x**2*y**3 + 2.999*x - 0.198*y/(y - 2.626) - 0.017                       14  proged    numdif      allonger        stl          30       0
          29        54  0.186934  0.175362   -1.018*x**3 - 1.044*x*y**2 + 1.024*x - 3.001*y - 0.e-3  0.734*x*y**3 + 3.023*x                                                         15  proged    numdif      allonger        stl          30       0
          43        85  0.116548  0.0977003  -1.018*x**3 - 1.044*x*y**2 + 1.024*x - 3.001*y - 0.e-3  0.639*x**3*y**3 + 2.997*x - 0.093*y - 0.179*y/(y - 2.622) - 0.014              16  proged    numdif      allonger        stl          30       0
          16        28  0.860536  0.858726   -0.778*x**3*y**2 - 2.994*y + 0.014                      3.121*x                                                                        17  proged    numdif      allonger        stl          30       0
          18        33  0.8497    0.847904   -0.778*x**3*y**2 - 2.994*y + 0.014                      3.117*x - 0.046                                                                18  proged    numdif      allonger        stl          30       0
          23        40  0.413258  0.409675   -0.778*x**3*y**2 - 2.994*y + 0.014                      0.734*x*y**3 + 3.023*x                                                         19  proged    numdif      allonger        stl          30       0
