	system	snr	iinit	TE	TEinf	expr_model	method	data_version	exp_version	benchmark	duration
0	stl	inf	0	0.020084258796814924	0.020084258796814924	[['1.013 x + -2.985 y + -1.012 x^3 + -0.015 y^3 + -0.012 x^2*y + -1.016 y^2*x', '2.929 x + 0.920 y + 0.062 x^3 + -0.917 y^3 + -0.937 x^2*y + 0.085 y^2*x']]	sindy	allonger	e2	custom	0.050774335861206055
1	stl	30	0	0.11982934873592163	0.10176604093612457	[['0.777 x + -3.188 y + 0.009 x^2 + -0.016 x*y + -0.810 x^3 + 0.171 y^3 + 0.218 x^2*y + -0.726 y^2*x', '2.802 x + 0.716 y + 0.035 x*y + 0.165 x^3 + -0.702 y^3 + -0.793 x^2*y + 0.241 y^2*x']]	sindy	allonger	e2	custom	0.04000091552734375
2	stl	13	0	1.817436077939681	1.8056438030198163	[['0.557 1 + 0.528 x + -3.100 y + -0.404 x^2 + -0.583 y^2 + 0.102 x*y + -0.500 x^3 + 0.849 x^2*y + -0.616 y^2*x', '0.649 1 + 3.843 x + 0.993 y + -0.654 x^2 + -0.560 y^2 + 0.376 x*y + -0.909 x^3 + -0.860 y^3 + -0.771 x^2*y + -0.404 y^2*x']]	sindy	allonger	e2	custom	0.020369768142700195
3	stl	inf	1	0.14143648066420264	0.14143648066420264	[['-2.998 y', '3.001 x']]	sindy	allonger	e2	custom	0.009997367858886719
4	stl	30	1	0.20028490373624447	0.1901236460391271	[['-2.990 y', '2.995 x']]	sindy	allonger	e2	custom	0.02000904083251953
5	stl	13	1	3.4794858037706624	3.539861279927233	[['-0.277 1 + 0.575 x + -2.494 y + 0.188 x^2 + 0.398 y^2 + 0.081 x*y + -0.438 x^3 + -0.427 y^3 + -0.655 y^2*x', '0.044 1 + 5.718 x + -0.165 y + -0.120 y^2 + -0.139 x*y + -2.812 x^3 + 0.540 x^2*y + -1.436 y^2*x']]	sindy	allonger	e2	custom	0.019955158233642578
6	stl	inf	2	333.7874083156295	333.7874083156295	[['-6.147 1 + 1.143 x + -7.821 y + 6.090 x^2 + 6.109 y^2 + 0.009 x*y + -1.190 x^3 + 4.772 y^3 + 4.849 x^2*y + -1.202 y^2*x', '-1.355 1 + 2.985 x + 0.010 y + 1.346 x^2 + 1.339 y^2 + 0.001 x*y + -0.006 y^3 + -0.032 x^2*y + 0.012 y^2*x']]	sindy	allonger	e2	custom	0.8008296489715576
7	stl	30	2	12.853427337018076	12.841460844309918	[['-1.126 1 + 0.427 x + -2.882 y + 1.165 x^2 + 1.022 y^2 + -0.005 x*y + -0.482 x^3 + -0.274 x^2*y + -0.355 y^2*x', '-1.144 1 + 2.995 x + 0.143 y + 1.138 x^2 + 1.143 y^2 + 0.013 x*y + -0.143 y^3 + -0.133 x^2*y + -0.040 y^2*x']]	sindy	allonger	e2	custom	0.2200014591217041
8	stl	13	2	13.228968961124313	13.508904147548561	[['-2.174 1 + -0.115 x + -4.368 y + 1.922 x^2 + 2.177 y^2 + 0.215 x*y + -0.193 x^3 + 1.690 y^3 + -0.150 x^2*y + 0.548 y^2*x', '-0.536 1 + 3.126 x + 0.118 y + 0.546 x^2 + 0.505 y^2 + -0.416 x*y + -0.083 x^3 + -0.495 x^2*y + -0.528 y^2*x']]	sindy	allonger	e2	custom	0.029410600662231445
9	stl	inf	3	0.35837171831756687	0.35837171831756687	[['-0.079 1 + 0.431 x + -2.466 y + 0.134 x^2 + 0.076 x*y + -0.424 x^3 + -0.430 y^3 + -0.752 x^2*y + -0.546 y^2*x', '-1.216 1 + 2.990 x + 0.225 y + 1.213 x^2 + 1.194 y^2 + 0.010 x*y + -0.201 y^3 + -0.290 x^2*y + -0.011 y^2*x']]	sindy	allonger	e2	custom	0.21422219276428223
10	stl	30	3	16.651131646031537	16.641351518997766	[['-3.173 1 + 1.187 x + -5.267 y + 3.161 x^2 + 3.130 y^2 + 0.028 x*y + -1.208 x^3 + 2.269 y^3 + 2.227 x^2*y + -1.235 y^2*x', '-1.046 1 + 3.005 x + 0.326 y + 1.047 x^2 + 1.026 y^2 + -0.002 x*y + -0.309 y^3 + -0.366 x^2*y + -0.056 y^2*x']]	sindy	allonger	e2	custom	0.48931169509887695
11	stl	13	3	30224.878382684394	30962.524485745133	[['-1.425 1 + -0.108 x + -2.246 y + 1.257 x^2 + 1.405 y^2 + 0.131 x*y + -0.103 x^3 + -0.271 y^3 + -0.907 x^2*y + 0.526 y^2*x', '3.027 x + 0.502 y + 0.007 x^2 + 0.025 y^2 + -0.164 x*y + -0.151 x^3 + -0.420 y^3 + -0.663 x^2*y + -0.254 y^2*x']]	sindy	allonger	e2	custom	0.030001163482666016
