
ModelBox: 512 models
-> -0.326042380413172*x**4 + 0.538705946890926*x - 8.19647260665275e-6*exp(9.99933952554213*x**6), p = 4.174708211712001e-08, parse trees = 1, valid = True, error = 2.0276125612311697e-05, time = 274.89133501052856
-> -0.266300697227937*x**3 + 0.558988083944019*x - 1.05159772658398e-5*exp(9.99886640478791*x**2), p = 4.076863488000001e-06, parse trees = 1, valid = True, error = 6.572442709823171e-05, time = 329.3455319404602
-> -0.327540623633312*x**2 + 0.651059924564912*x - 0.000224970725621893*exp(7.08452252837436*x**3), p = 2.3482733690880004e-07, parse trees = 1, valid = True, error = 6.78283865488188e-05, time = 270.97718381881714
-> -5.29059754232402e-5*exp(8.61966678953862*x**2) + 0.438389922591165 - 0.448706161853638*exp(-1.6578559145788*x), p = 4.1361944346623997e-05, parse trees = 8, valid = True, error = 8.312506677357903e-05, time = 1559.206425666809
-> -0.174493037809784*x**2 + 0.581422373159832*x - 1.49304920882276e-5*exp(9.99920122793703*x), p = 7.64411904e-05, parse trees = 3, valid = True, error = 0.00015585836865375245, time = 391.022967338562
-> 0.467533376043389*x - 0.0522430727264207*exp(2.18227730302973*x**4) + 0.0667154467100382, p = 3.058323918730298e-05, parse trees = 4, valid = True, error = 0.0001568718284505579, time = 206.0688178539276
-> 0.474935645579023*x + 0.0359550321453669*exp(0.00675175521363166*x) - 0.0225734615785249*exp(2.96664685077266*x**3), p = 2.2649241600000005e-06, parse trees = 1, valid = True, error = 0.00016190146956665777, time = 574.4532668590546
-> 0.471905531352621*x - 0.00472786498259998*exp(4.47902604477629*x**2) + 0.0191271871599239, p = 0.0004376983842726075, parse trees = 35, valid = True, error = 0.00017714892193015325, time = 187.16876673698425
-> -0.353919229517541*x**8 - 0.0947285569869017*x**2 + 0.528121486484481*x + 0.00626129960473313, p = 6.011707472731393e-09, parse trees = 2, valid = True, error = 0.0002270544196543282, time = 74.62748098373413
-> 0.460073809367326*x + 0.0450803233282754*sqrt(x**2) - 0.000189658584696349*exp(7.71384743464157*x), p = 5.6623104e-06, parse trees = 1, valid = True, error = 0.0002358657076617672, time = 1029.6046812534332
-> 0.505548284521975*sqrt(x**2) - 0.000191321300547653*exp(7.70612134484106*x), p = 0.000196608, parse trees = 2, valid = True, error = 0.0002358706070612958, time = 315.3221299648285
-> -2.61422559976532*x**5 + 3.01779508608379*x**4 - 1.1931549560503*x**2 + 0.890546983853699*x - 0.0158331917538323, p = 2.2438101464713155e-10, parse trees = 1, valid = True, error = 0.00023783619901156553, time = 223.2985863685608
-> -0.386575872282567*x**8 + 0.45258825832964*x + 0.0163147385376498, p = 2.609192632320001e-07, parse trees = 1, valid = True, error = 0.00024308368065500583, time = 20.17512083053589
-> -0.386825843580738*x**8 + 6.87501858930519*x - 6.42215708461837*sqrt(x**2) + 0.0161715944254899, p = 1.3679683868137888e-12, parse trees = 1, valid = True, error = 0.00024308494876696516, time = 227.04819655418396
-> 0.519372985918905*x - 0.00662573479203804*exp(4.20901366075335*x**2), p = 0.0009356967936, parse trees = 4, valid = True, error = 0.00024419249990741376, time = 63.92850589752197
-> -0.397425261020202*x**7 + 6.17150971502296*x - 5.69621643838887*sqrt(x**2) + 0.0111774962331454, p = 1.5389644351655122e-11, parse trees = 1, valid = True, error = 0.00026981978068570925, time = 224.87240290641785
-> -0.397871983683705*x**7 + 0.474605273363753*x + 0.0111971555669781*exp(0.0727015773326866*x), p = 2.609192632320001e-07, parse trees = 1, valid = True, error = 0.00026982113383103464, time = 77.06129741668701
-> -0.397347292999432*x**7 + 0.475064135967176*x + 0.0112957076637695, p = 1.3526054605946885e-08, parse trees = 1, valid = True, error = 0.000269823194198617, time = 18.87333035469055
-> -0.375272076864445*x**7 + 1.9935640471 - 1.98847572444254*exp(-0.26401040100568*x), p = 2.0873541058560008e-08, parse trees = 1, valid = True, error = 0.000270918729686995, time = 167.67692136764526
-> -0.375673454843898*x**7 - 0.0725768686652794*x**2 + 0.538893156916898*x, p = 2.7052109211893763e-08, parse trees = 1, valid = True, error = 0.00027577974712746664, time = 26.98189425468445
-> 0.461028274204561*sqrt(x) - 0.0764039387853758*exp(1.61899658405805*x**6), p = 3.2212254720000014e-08, parse trees = 1, valid = True, error = 0.00027737334866345155, time = 106.46459364891052
-> -0.409882667469348*x**7 + 0.496750504608745*x, p = 2.1558454124544002e-05, parse trees = 2, valid = True, error = 0.0002926376227775734, time = 6.321607351303101
-> -0.445701877131613*x**6 + 0.0810302027611655*x**2 + 0.446871330795144*x + 0.0119852418956096, p = 3.895503726512702e-09, parse trees = 1, valid = True, error = 0.0003226139889773858, time = 67.441415309906
-> -0.434850032723876*x**6 + 0.634876746563576*x - 0.177507909476691 + 0.187880634133821*exp(-0.958539564856459*x), p = 6.232805962420325e-11, parse trees = 1, valid = True, error = 0.00032538988709570314, time = 236.176114320755
-> -0.413991870216455*x**6 + 0.506001666805281*x + 0.00473375470656936, p = 1.597953062197003e-05, parse trees = 5, valid = True, error = 0.0003307387183278145, time = 21.138554573059082
-> -0.413421097988187*x**6 + 0.50533700811319*sqrt(x**2) + 0.0049744210468373, p = 1.3045963161600002e-06, parse trees = 2, valid = True, error = 0.0003307408411595812, time = 90.43769240379333
-> -0.419346860641903*x**6 + 0.515265952964962*x, p = 5.389613531136001e-05, parse trees = 2, valid = True, error = 0.0003349163994552746, time = 5.149347543716431
-> -0.405368124980059*x**6 + 6.10282987706325 - 6.09987101549718*exp(-0.0854995881941348*x), p = 3.6238786560000017e-07, parse trees = 1, valid = True, error = 0.000335494134453491, time = 265.0987069606781
-> 0.131701992179983*sqrt(x) - 0.775673681533038*x**5 + 0.512291772253323*x**3 + 0.225516108203049*x, p = 1.9237055439568903e-10, parse trees = 1, valid = True, error = 0.0003375647899750034, time = 273.3285620212555
-> -2.76057126086887*x**2 + 1.17631108082987*x + 2.2143582493458 - 2.24242526600467*exp(-1.42996960147873*x**3), p = 1.2050963206420564e-06, parse trees = 4, valid = True, error = 0.00034215930459470897, time = 388.2850139141083
-> 0.507466749648376*sqrt(x**2) - 9.98957929822152 + 9.99398050097377*exp(-0.0422916630573151*x**6), p = 6.679533138739203e-10, parse trees = 1, valid = True, error = 0.00034258022881478287, time = 557.6223976612091
-> 0.506949734712098*x - 9.97870809165538 + 9.98336364109847*exp(-0.0423043753534495*x**6), p = 3.623878656000001e-07, parse trees = 1, valid = True, error = 0.000342593595304444, time = 191.04989194869995
-> 0.229280816508019*sqrt(x) - 0.600605693288573*x**5 + 0.484295051787798*x**2 - 0.0154890807902624, p = 6.679533138739202e-10, parse trees = 1, valid = True, error = 0.0003614078408281307, time = 257.65069794654846
-> 0.50347954295725*x - 0.0123258058813637*exp(3.58036017605999*x**3), p = 0.00036408655872, parse trees = 3, valid = True, error = 0.00037392528184574617, time = 43.21104025840759
-> -1.72690710916018*x**2 + 1.12430480281223*x + 0.732630443490961 - 0.765443744365069*exp(-3.1076348198195*x**4), p = 4.3283374739030023e-10, parse trees = 1, valid = True, error = 0.00038569715970691827, time = 300.8488051891327
-> -0.547544546219779*x**5 + 0.251089968079675*x**2 + 0.379183159150739*x + 0.0163334864119906, p = 4.2268920643584013e-07, parse trees = 1, valid = True, error = 0.0003916515873144331, time = 71.49486589431763
-> 0.47330180447071*sqrt(x) - 0.0794410994130902*exp(1.58705142819524*x**5), p = 6.291456000000001e-06, parse trees = 1, valid = True, error = 0.00039427067497819937, time = 98.15424466133118
-> -0.890506662286473*x**4 + 0.394406763908648*x + 1.39746103235027 - 1.37908359648944*exp(-0.540826939837859*x**3), p = 4.3283374739030023e-10, parse trees = 1, valid = True, error = 0.0003994759753305605, time = 350.4663290977478
-> -0.506876153753198*x**5 + 0.135669542154726*x**2 + 0.472319251129039*x, p = 2.9353417113600007e-06, parse trees = 1, valid = True, error = 0.0004121585287680364, time = 30.214963912963867
