A009117,A084244,A084633,A110164,A122803,A141413,A256096,A262710,A350384,A352779
1,1.0,1.0,1.0,1,0,4.0,1,1,1.0
-2,5.0,0.0,-2.0,-2,-1,-9.0,-4,-1728,-3.0
8,-15.0,2.0,3.0,4,1,27.0,16,2985984,9.0
-32,45.0,-4.0,-6.0,-8,-3,-81.0,-64,-5159780352,-27.0
128,-135.0,8.0,12.0,16,9,243.0,256,8916100448256,81.0
-512,405.0,-16.0,-24.0,-32,-27,-729.0,-1024,-15407021574586368,-243.0
2048,-1215.0,32.0,48.0,64,81,2187.0,4096,26623333280885243904,729.0
-8192,3645.0,-64.0,-96.0,-128,-243,-6561.0,-16384,-46005119909369701466112,-2187.0
32768,-10935.0,128.0,192.0,256,729,19683.0,65536,79496847203390844133441536,6561.0
-131072,32805.0,-256.0,-384.0,-512,-2187,-59049.0,-262144,-137370551967459378662586974208,-19683.0
524288,-98415.0,512.0,768.0,1024,6561,177147.0,1048576,237376313799769806328950291431424,59049.0
-2097152,295245.0,-1024.0,-1536.0,-2048,-19683,-531441.0,-4194304,-410186270246002225336426103593500672,-177147.0
8388608,-885735.0,2048.0,3072.0,4096,59049,1594323.0,16777216,,531441.0
-33554432,2657205.0,-4096.0,-6144.0,-8192,-177147,-4782969.0,-67108864,,-1594323.0
134217728,-7971615.0,8192.0,12288.0,16384,531441,14348907.0,268435456,,4782969.0
-536870912,23914845.0,-16384.0,-24576.0,-32768,-1594323,-43046721.0,-1073741824,,-14348907.0
2147483648,-71744535.0,32768.0,49152.0,65536,4782969,129140163.0,4294967296,,43046721.0
-8589934592,215233605.0,-65536.0,-98304.0,-131072,-14348907,-387420489.0,-17179869184,,-129140163.0
34359738368,-645700815.0,131072.0,196608.0,262144,43046721,1162261467.0,68719476736,,387420489.0
-137438953472,1937102445.0,-262144.0,-393216.0,-524288,-129140163,-3486784401.0,-274877906944,,-1162261467.0
549755813888,-5811307335.0,524288.0,786432.0,1048576,387420489,10460353203.0,1099511627776,,3486784401.0
-2199023255552,17433922005.0,-1048576.0,-1572864.0,-2097152,-1162261467,-31381059609.0,-4398046511104,,-10460353203.0
8796093022208,-52301766015.0,2097152.0,3145728.0,4194304,3486784401,94143178827.0,17592186044416,,31381059609.0
-35184372088832,156905298045.0,-4194304.0,-6291456.0,-8388608,-10460353203,-282429536481.0,-70368744177664,,-94143178827.0
140737488355328,-470715894135.0,8388608.0,12582912.0,16777216,31381059609,847288609443.0,281474976710656,,282429536481.0
-562949953421312,1412147682405.0,-16777216.0,-25165824.0,-33554432,-94143178827,-2541865828329.0,-1125899906842624,,-847288609443.0
2251799813685248,-4236443047215.0,33554432.0,50331648.0,67108864,282429536481,7625597484987.0,4503599627370496,,2541865828329.0
-9007199254740992,,-67108864.0,-100663296.0,-134217728,-847288609443,,-18014398509481984,,-7625597484987.0
36028797018963968,,134217728.0,201326592.0,268435456,2541865828329,,72057594037927936,,
-144115188075855872,,-268435456.0,-402653184.0,-536870912,-7625597484987,,-288230376151711744,,
576460752303423488,,536870912.0,805306368.0,1073741824,22876792454961,,1152921504606846976,,
-2305843009213693952,,-1073741824.0,-1610612736.0,-2147483648,-68630377364883,,-4611686018427387904,,
9223372036854775808,,2147483648.0,3221225472.0,4294967296,205891132094649,,18446744073709551616,,
-36893488147419103232,,-4294967296.0,,-8589934592,-617673396283947,,-73786976294838206464,,
147573952589676412928,,,,17179869184,1853020188851841,,295147905179352825856,,
-590295810358705651712,,,,-34359738368,-5559060566555523,,-1180591620717411303424,,
2361183241434822606848,,,,68719476736,16677181699666569,,4722366482869645213696,,
-9444732965739290427392,,,,-137438953472,-50031545098999707,,-18889465931478580854784,,
37778931862957161709568,,,,274877906944,150094635296999121,,75557863725914323419136,,
-151115727451828646838272,,,,-549755813888,-450283905890997363,,-302231454903657293676544,,
604462909807314587353088,,,,1099511627776,1350851717672992089,,1208925819614629174706176,,
-2417851639229258349412352,,,,-2199023255552,-4052555153018976267,,-4835703278458516698824704,,
9671406556917033397649408,,,,4398046511104,12157665459056928801,,19342813113834066795298816,,
-38685626227668133590597632,,,,-8796093022208,-36472996377170786403,,-77371252455336267181195264,,
154742504910672534362390528,,,,17592186044416,109418989131512359209,,309485009821345068724781056,,
-618970019642690137449562112,,,,-35184372088832,-328256967394537077627,,-1237940039285380274899124224,,
2475880078570760549798248448,,,,70368744177664,984770902183611232881,,4951760157141521099596496896,,
-9903520314283042199192993792,,,,-140737488355328,-2954312706550833698643,,-19807040628566084398385987584,,
39614081257132168796771975168,,,,281474976710656,8862938119652501095929,,79228162514264337593543950336,,
-158456325028528675187087900672,,,,-562949953421312,-26588814358957503287787,,-316912650057057350374175801344,,
633825300114114700748351602688,,,,1125899906842624,79766443076872509863361,,1267650600228229401496703205376,,
-2535301200456458802993406410752,,,,-2251799813685248,-239299329230617529590083,,-5070602400912917605986812821504,,
10141204801825835211973625643008,,,,4503599627370496,717897987691852588770249,,20282409603651670423947251286016,,
-40564819207303340847894502572032,,,,-9007199254740992,-2153693963075557766310747,,-81129638414606681695789005144064,,
162259276829213363391578010288128,,,,18014398509481984,6461081889226673298932241,,324518553658426726783156020576256,,
-649037107316853453566312041152512,,,,-36028797018963968,-19383245667680019896796723,,-1298074214633706907132624082305024,,
2596148429267413814265248164610048,,,,72057594037927936,58149737003040059690390169,,5192296858534827628530496329220096,,
-10384593717069655257060992658440192,,,,-144115188075855872,-174449211009120179071170507,,-20769187434139310514121985316880384,,
41538374868278621028243970633760768,,,,288230376151711744,523347633027360537213511521,,83076749736557242056487941267521536,,
-166153499473114484112975882535043072,,,,-576460752303423488,-1570042899082081611640534563,,-332306998946228968225951765070086144,,
664613997892457936451903530140172288,,,,1152921504606846976,4710128697246244834921603689,,1329227995784915872903807060280344576,,
-2658455991569831745807614120560689152,,,,-2305843009213693952,-14130386091738734504764811067,,-5316911983139663491615228241121378304,,
10633823966279326983230456482242756608,,,,4611686018427387904,42391158275216203514294433201,,21267647932558653966460912964485513216,,
-42535295865117307932921825928971026432,,,,-9223372036854775808,-127173474825648610542883299603,,-85070591730234615865843651857942052864,,
170141183460469231731687303715884105728,,,,18446744073709551616,381520424476945831628649898809,,340282366920938463463374607431768211456,,
-680564733841876926926749214863536422912,,,,-36893488147419103232,-1144561273430837494885949696427,,-1361129467683753853853498429727072845824,,
2722258935367507707706996859454145691648,,,,73786976294838206464,3433683820292512484657849089281,,5444517870735015415413993718908291383296,,
-10889035741470030830827987437816582766592,,,,-147573952589676412928,-10301051460877537453973547267843,,-21778071482940061661655974875633165533184,,
43556142965880123323311949751266331066368,,,,295147905179352825856,30903154382632612361920641803529,,87112285931760246646623899502532662132736,,
-174224571863520493293247799005065324265472,,,,-590295810358705651712,-92709463147897837085761925410587,,-348449143727040986586495598010130648530944,,
696898287454081973172991196020261297061888,,,,1180591620717411303424,278128389443693511257285776231761,,1393796574908163946345982392040522594123776,,
-2787593149816327892691964784081045188247552,,,,-2361183241434822606848,-834385168331080533771857328695283,,-5575186299632655785383929568162090376495104,,
11150372599265311570767859136324180752990208,,,,4722366482869645213696,2503155504993241601315571986085849,,22300745198530623141535718272648361505980416,,
-44601490397061246283071436545296723011960832,,,,-9444732965739290427392,-7509466514979724803946715958257547,,-89202980794122492566142873090593446023921664,,
178405961588244985132285746181186892047843328,,,,18889465931478580854784,22528399544939174411840147874772641,,356811923176489970264571492362373784095686656,,
-713623846352979940529142984724747568191373312,,,,-37778931862957161709568,-67585198634817523235520443624317923,,-1427247692705959881058285969449495136382746624,,
2854495385411919762116571938898990272765493248,,,,75557863725914323419136,202755595904452569706561330872953769,,5708990770823839524233143877797980545530986496,,
-11417981541647679048466287755595961091061972992,,,,-151115727451828646838272,-608266787713357709119683992618861307,,-22835963083295358096932575511191922182123945984,,
45671926166590716193865151022383844364247891968,,,,302231454903657293676544,1824800363140073127359051977856583921,,91343852333181432387730302044767688728495783936,,
-182687704666362864775460604089535377456991567872,,,,-604462909807314587353088,-5474401089420219382077155933569751763,,-365375409332725729550921208179070754913983135744,,
730750818665451459101842416358141509827966271488,,,,1208925819614629174706176,16423203268260658146231467800709255289,,1461501637330902918203684832716283019655932542976,,
-2923003274661805836407369665432566039311865085952,,,,-2417851639229258349412352,-49269609804781974438694403402127765867,,-5846006549323611672814739330865132078623730171904,,
11692013098647223345629478661730264157247460343808,,,,4835703278458516698824704,147808829414345923316083210206383297601,,23384026197294446691258957323460528314494920687616,,
-46768052394588893382517914646921056628989841375232,,,,-9671406556917033397649408,-443426488243037769948249630619149892803,,-93536104789177786765035829293842113257979682750464,,
187072209578355573530071658587684226515959365500928,,,,19342813113834066795298816,1330279464729113309844748891857449678409,,374144419156711147060143317175368453031918731001856,,
-748288838313422294120286634350736906063837462003712,,,,-38685626227668133590597632,-3990838394187339929534246675572349035227,,-1496577676626844588240573268701473812127674924007424,,
2993155353253689176481146537402947624255349848014848,,,,77371252455336267181195264,11972515182562019788602740026717047105681,,5986310706507378352962293074805895248510699696029696,,
-11972621413014756705924586149611790497021399392059392,,,,-154742504910672534362390528,-35917545547686059365808220080151141317043,,-23945242826029513411849172299223580994042798784118784,,
47890485652059026823698344598447161988085597568237568,,,,309485009821345068724781056,107752636643058178097424660240453423951129,,95780971304118053647396689196894323976171195136475136,,
-191561942608236107294793378393788647952342390272950272,,,,-618970019642690137449562112,-323257909929174534292273980721360271853387,,-383123885216472214589586756787577295904684780545900544,,
766247770432944429179173513575154591809369561091801088,,,,1237940039285380274899124224,969773729787523602876821942164080815560161,,1532495540865888858358347027150309183618739122183602176,,
-3064991081731777716716694054300618367237478244367204352,,,,-2475880078570760549798248448,-2909321189362570808630465826492242446680483,,-6129982163463555433433388108601236734474956488734408704,,
