,Name,URL,length (# available seq members leq 200),cathegory (trivial [T]/exists [E]/hard [H]),ground truth,"Diofantos [disco., outputed]",SINDy
A000001,groups of order n,https://oeis.org/A000001,200,hard,no,,
A000002,Kolakoski,https://oeis.org/A000002,200,hard,"no, (a(n+2)*a(n+1)*a(n)/2 = a(n+2) + a(n+1) + a(n) - 3 )",?,?
A000005,Number of divisors of n,https://oeis.org/A000005,200,hard,no,,
A000009,Expansion of product ...,https://oeis.org/A000009,200,hard,no,,
A000010,Euler totient function,https://oeis.org/A000010,200,hard,"no, a(n) = binomial(n+1, 2) - Sum_{i=1..n-1} a(i)*floor(n/i)",,
A000014,series-reduced trees,https://oeis.org/A000014,200,hard,no.,,
A000019,primitive permutation groups,https://oeis.org/A000019,200,hard,no.,,
A000029,"bracelets, i.e. necklaces of 2 colors, turning allowed",https://oeis.org/A000029,200,hard,"no, a(0) = 1; a(n) = Sum_{k=1..n} 2^gcd(n,k)/(2*n) + either 2^((n - 1)/2) if n odd or 2^(n/2 - 1) + 2^(n/2 - 2) if n even.",,
A000031,necklaces with 2 colors w/ turning not allowed,https://oeis.org/A000031,200,hard,"no,  a(n) = (1/n) * Sum_{k=1..n} 2^gcd(n,k)",,
A000032,Lucas num. (beg. 2),https://oeis.org/A000032,200,exists,a_n = a_{n-1} + a_{n-2},yes! a_n = a_{n-1} + a_{n-2},"yes, a(n) = a(n - 2) + a(n - 1)"
A000035,"period 2 (repeat 0,1)",https://oeis.org/A000035,200,exists,"a(n) = (1 - (-1)^n)/2.
a(n) = n mod 2.
a(n) = 1 - a(n-1).",yes! a_n = 1 - a_{n-1},"yes, a(n) = 1 - a(n - 1)"
A000040,primes,https://oeis.org/A000040,200,hard,no,no?,no?
A000041,partitions,https://oeis.org/A000041,200,hard,no,,
A000043,Mersenne exponents,https://oeis.org/A000043,48,hard,no,,
A000045,Fibonacci,https://oeis.org/A000045,200,exists,a_n = a_{n-1} + a_{n-2},yes! a_n = a_{n-1} + a_{n-2},"yes, a(n) = a(n - 2) + a(n - 1)"
A000048,necklaces with 2 interchangable colors,https://oeis.org/A000048,200,hard,no,,
A000055,trees with n unlabeled nodes,https://oeis.org/A000055,200,hard,no,,
A000058,Sylvester's sequence,https://oeis.org/A000058,13,E,a(n+1) = a(n)^2 - a(n) + 1,yes! a_n = a_{n-1}^2 - a_{n-1} + 1,no
A000069,Odious numbers,https://oeis.org/A000069,200,hard,"no, a(2*n) = 6*n-3 -a(n), a(2*n+1) = a(n+1) + 2*n",,
A000079,Powers of 2,https://oeis.org/A000079,200,E,"a(n) = 2^n, a(n) = 2*a(n-1)","yes, a_n = 2*a_{n-1}","yes, a(n) = 2*a(n - 1)"
