a, b, c, c^2
6, 8, 10, 100
8, 15, 17, 289
9, 40, 41, 1681
33, 56, 65, 4225
39, 80, 89, 7921
7, 24, 25, 625
28, 45, 53, 2809
48, 55, 73, 5329
65, 72, 97, 9409
3, 4, 5, 25
20, 21, 29, 841
11, 60, 61, 3721
13, 84, 85, 7225
5, 12, 13, 169
12, 35, 37, 1369
16, 63, 65, 4225
36, 77, 85, 7225
20, 99, 101, 10201
88, 105, 137, 18769
85, 132, 157, 24649
57, 176, 185, 34225
84, 187, 205, 42025
60, 221, 229, 52441
23, 264, 265, 70225
160, 231, 281, 78961
60, 91, 109, 11881
17, 144, 145, 21025
119, 120, 169, 28561
104, 153, 185, 34225
133, 156, 205, 42025
105, 208, 233, 54289
96, 247, 265, 70225
161, 240, 289, 83521
15, 112, 113, 12769
24, 143, 145, 21025
52, 165, 173, 29929
95, 168, 193, 37249
21, 220, 221, 48841
120, 209, 241, 58081
69, 260, 269, 72361
68, 285, 293, 85849
44, 117, 125, 15625
51, 140, 149, 22201
19, 180, 181, 32761
28, 195, 197, 38809
140, 171, 221, 48841
32, 255, 257, 66049
115, 252, 277, 76729

